payid,oid,amount,method_payment,provider,payment_status,order_status
2eb9cc0f-d034-465f-bf5f-c09467c0b54c,d961b293-7070-450e-9da3-d01b09b81a08,2935.78,UPI,Square,Failed,Cancelled
9c1c3db6-653c-4968-857b-7bc0429c4bc1,5cdcece6-41bd-482f-81bf-56db890545fc,878.01,Cash on Delivery,Square,Pending,Placed
a5151c53-1936-41ee-841a-acfc78746af1,aa2dc77f-d9c6-4790-91ce-941907a844e0,680.77,Debit Card,Stripe,Failed,Cancelled
2b27c448-29ee-46e7-bdcd-fbd55cff6d3f,1603dee7-96e1-4bda-9e06-101d92cf28f7,2993.43,Debit Card,Bank,Paid,Cancelled
22304aaf-f090-45f6-8c0e-075ce6da58cf,4d869abe-986e-4e03-8440-a58690a2e50e,949.72,Credit Card,Square,Pending,Cancelled
09ae807a-217b-45c9-98af-ea803456bf34,74729814-d68c-45a7-8258-3ba4fc06db2c,1112.59,PayPal,Square,Paid,Cancelled
166593a0-47ec-4346-9d5e-b7e8a9614b2e,4e6d8629-f243-46ee-a9b6-4faec59f1584,2987.54,PayPal,Stripe,Pending,Cancelled
a4f4e30b-9812-459e-8e3d-c4e36edbf28e,9518332e-6c73-415f-86a4-450d34dcd74c,1747.87,Debit Card,Stripe,Failed,Shipped
5ea72946-1f98-420d-9b13-6189c41b605c,020a5e3e-c47e-40da-8ba4-0e79599e9c5f,1340.42,PayPal,PayPal,Failed,Cancelled
d47523ef-deef-485b-98e6-6d7f6d3473e6,abebb85e-3335-45bc-99d2-9848ba7ac6fa,733.73,UPI,Stripe,Pending,Shipped
3826bc4f-6ac3-435a-80cb-9b131951e744,866f0642-feba-47bd-939a-4eae06df41b8,745.86,UPI,Square,Paid,Placed
10e20586-7f2e-47fe-9506-5a3e511c9873,158d2465-d570-423c-ac7d-e5f74429ad43,2802.07,PayPal,Bank,Pending,Shipped
f87c3078-f767-41a2-a840-5091709a470b,4b83149c-710b-4b3e-8b09-b489c01e1734,763.8,Credit Card,PayPal,Failed,Shipped
67bcb527-1d8e-4c65-bff4-2309789e1991,dec59357-b112-4664-98b5-278cdfa09a40,2309.82,Debit Card,Stripe,Failed,Shipped
4f34c613-4ad9-4f17-9b07-e8327948c349,2524520b-eb2f-4a93-9a78-191a21827738,2589.68,Debit Card,PayPal,Failed,Cancelled
98a58e70-a626-4ef4-aed0-a4b091d43335,6af2e277-668a-4533-ab6a-18eb7ee3d888,605.05,Credit Card,PayPal,Failed,Placed
56db0838-62d1-495d-b395-6e69b2f81d2d,d23409a7-dc79-4c06-90c7-6faaae999d9e,1896.55,Debit Card,Bank,Pending,Placed
b839b523-79a0-4aa5-bfb4-1bdacb330689,de69bf77-e107-4fe0-a2b7-489c0081f148,902.78,UPI,Stripe,Pending,Cancelled
83d90055-7e63-4b67-9af5-912435a98764,59934e23-e45b-4407-a8c8-6cb51e23ca92,349.69,Debit Card,Stripe,Pending,Shipped
d7fa118b-5ba3-4aa5-ba3d-53de8157f1d3,81407ccf-cfe5-4f05-a1a9-86e1864783b5,8.88,Debit Card,Stripe,Failed,Cancelled
8900c9ae-5e09-44d2-8393-9d699a030fee,5d6750f1-70e8-4d43-9595-fec2881625d3,1578.79,Cash on Delivery,Stripe,Pending,Shipped
26b762c2-cdba-4af3-bfb6-e3021e1a5df8,03401f5e-ad0c-465f-a1a8-ca50452e66f8,4096.07,Debit Card,PayPal,Paid,Cancelled
