payid,oid,amount,method_payment,provider,payment_status,order_status
e916410d-e4c6-416f-8dc3-84f1bf3b8173,aafef007-059b-4e08-ba0e-58e564baf096,1165.42,PayPal,Bank,Failed,Cancelled
d9800d36-5849-4ed4-ba44-d62c395f55a0,bc20d171-d92c-4e96-ae55-d984f68d6bb0,1185.65,Cash on Delivery,PayPal,Paid,Cancelled
a4d64232-09d1-439e-a943-8d037bfbae2f,2950071a-b106-4c72-a4d3-2d5dfc2c1b37,1343.45,Credit Card,PayPal,Failed,Placed
cb0d2ace-e9db-4b6d-821e-5039f525c36e,e54ed0aa-2a02-4d91-b686-25ebb757bb64,42.86,Debit Card,Bank,Failed,Cancelled
45fd0eac-f88d-406e-99e4-ee990a776df5,4f73c134-eada-493d-a49e-fe0117eecaa3,1942.67,Debit Card,Bank,Pending,Shipped
254e9c84-ab62-47f5-a690-eef83fb05585,185a6323-c9af-4f33-a193-d1f7a9c25592,2118.32,Credit Card,Bank,Failed,Placed
c72c2042-6cef-4c16-8729-5ea1f193af1d,5c21c370-5846-4a07-9b25-38e2b7744215,783.77,Credit Card,Stripe,Failed,Cancelled
b686a8c4-bf54-4c0e-9762-a22e2f322520,c8c43dad-cf98-44d1-9d93-73a297bfef2b,855.04,UPI,Square,Pending,Cancelled
bd2538ba-627d-401a-b074-a23e59420a3e,709b27eb-1581-4a12-8733-482d8252edd7,96.88,Debit Card,Bank,Pending,Cancelled
45813985-053b-4c37-bd92-175d47e1a29b,876bc1b4-1879-40fa-9680-62f9f4897679,808.73,Debit Card,Square,Failed,Placed
f1fd5a15-2524-4717-959e-97efa4a58305,3024fa89-7900-42a5-96cf-5b86c8c93992,1551.82,Credit Card,PayPal,Paid,Shipped
00233043-65f9-4916-ad55-db058e083e8c,1a173482-42be-4249-88b1-20816b8eb2ec,3118.83,Debit Card,Square,Paid,Shipped
98a582d4-df9e-4ebb-963e-874cbd2d8bd8,8d886188-63e9-4c81-8741-e807ac693551,183.24,Credit Card,Stripe,Paid,Placed
7c051322-87aa-4760-be20-2202eefacf40,2d211c92-0ff4-4de3-8213-9e0d34ad115f,926.53,PayPal,Stripe,Pending,Cancelled
2263de16-68c6-4d71-8af1-a845fd15d181,76c8a470-ed42-48ea-9551-3aa783f94bb7,1339.31,UPI,Stripe,Pending,Placed
93103100-fddb-4265-aa3b-577ca47d22a6,63994dc0-5147-4b52-91ea-987a5dd3b0ee,1392.25,Debit Card,Bank,Pending,Placed
edb08c1a-23b0-4851-a860-f62cf8570c65,4ceac659-5b32-43c2-a6c8-256d69ca72a7,1770.61,Credit Card,PayPal,Pending,Placed
fc38e352-218f-4e59-8237-3b5730733729,a2591327-532a-41b0-afb6-10da74f9c103,3607.38,Debit Card,PayPal,Paid,Placed
268e0031-8469-43f4-ab31-ba52a2c30a25,bf447fba-48ae-4d7a-8e9b-fba5cb7996b1,129.77,PayPal,PayPal,Failed,Cancelled
5a9278ac-d6ac-4616-88d7-9dc48749f1c3,b31ed2a4-a307-48f0-b7d0-34cdac733d3a,339.04,UPI,Stripe,Failed,Shipped
0c2eb8b2-9d65-4dbc-a7e8-221017323f28,370a4f90-0926-4d48-a7aa-79d8e20862c8,842.11,UPI,Stripe,Pending,Cancelled
3f55f918-c40d-4dd4-b1f9-ee5d768af9ea,067e05ff-af27-48c1-957e-ecbc336ee96e,2698.89,Cash on Delivery,PayPal,Failed,Cancelled
6cd4e3a2-0955-4498-aad1-46e0ada4e3c8,66d4d9ad-7869-402a-8c33-a225a1f03269,1619.83,Credit Card,Bank,Paid,Cancelled
f27cfbfd-2f11-42a6-9dd6-54a1e28c3d50,ff8910e2-1959-402f-9f34-89c56fa6007a,1015.48,Debit Card,Stripe,Paid,Shipped
36e4adfe-6714-4bb2-9eff-8abb542a385e,7b695c71-41cf-4451-9db1-f81fbca123b1,728.51,PayPal,Square,Failed,Cancelled
fc1a4cee-97e8-4323-a8e1-c8b14e3c92fa,d098fa2f-c544-4926-9bcc-739403b65b94,100.27,PayPal,Square,Failed,Cancelled
b125420d-53f4-40c6-96e4-023c89622c7f,c0356433-e4a2-402e-9f56-4c19ee2f12ec,444.52,Debit Card,Stripe,Failed,Shipped
3769371e-7257-4356-8dc5-0f9ef000d0f5,2a48c14b-e62b-4b53-a832-18a1bf053ab2,2855.72,PayPal,Bank,Failed,Shipped
82978429-4c2a-433f-8dba-f77dbbbb3cec,9c792256-a3f9-4d80-8971-844e7af03855,2897.28,Debit Card,Square,Failed,Cancelled
