oid,cid,pid,quantity,order_date
9bd0f28d-0934-40cc-a80a-926316a0d2cb,a3402482-3947-4de2-9675-d55a16f5c234,e13f32bc-28eb-4547-8691-60bcb1e6de17,1,2026-03-09T23:56:45.564401
9c07186b-80d7-4f78-a51d-0a77f214b7c2,86cc0e79-8fae-4742-9251-f710c7701a22,6be45913-7e06-47eb-8a2d-af6fa7bc388b,1,2026-03-09T09:37:01.899993
b22cce5c-4f42-4af5-81a9-2d8b85925dc0,e7a0624b-f6c7-4115-88ac-85384faf4a5e,0d11d4f2-5c9a-4c46-b767-d69e8bcb9d2f,4,2026-03-09T02:24:39.701889
c47a4b67-6f5b-4a17-a07c-dbe2a429819b,f2129d6f-5037-4454-b134-64ea64c9e10b,6bdaea37-5631-4938-b3c7-6fc7706959c0,2,2026-03-09T09:25:01.562601
6149eded-5351-4b55-ae20-20d545c581f5,a7f7e607-5713-4abf-9799-1e5df63f47cb,3148fe07-de97-4409-b03e-b290598932a2,4,2026-03-09T06:18:21.484928
241bd343-c7ea-4970-b357-cb9f69024f80,0307f7f3-c968-40b4-9a4e-e28380b93c0d,ff5fc6fe-81b7-4368-9781-f70ad2092307,4,2026-03-09T04:06:39.540713
504d903f-da09-41d1-8aed-67d983067752,d01312db-eef1-445e-a609-659c4cadd8ae,e4d481ab-47b6-4dd1-945a-65cc9e1ab5a0,5,2026-03-09T18:02:04.936810
7b372bbc-62d7-4305-a3df-8b852310f049,fa749bb2-6170-4917-ac42-3bd96244b809,81f07597-e903-4e8e-a1fe-aeed6da9f6ef,2,2026-03-09T04:26:46.938186
83efeacc-45ee-4856-b02a-0d9f4aa0192f,ba5f8c86-022c-46a9-bb4e-2d16389c6280,3803ec4a-73b8-4553-adc7-a4225064a1cc,2,2026-03-09T04:19:25.143657
526a0b1a-84a4-46c0-9158-bb7760fd7ffb,512df2c8-9884-4a9b-b0ad-1878e441d1d0,ac0a7478-adbe-4df4-8704-778ec9336a15,4,2026-03-09T04:45:13.395175
4b04d431-d6da-4ff3-a168-9d57f4855fd0,89423409-204b-4eb2-bc9e-c25c347188c2,f0b57a6d-01e6-4250-a3ff-3f8811a6fd9e,1,2026-03-09T04:54:37.140548
ca5792f0-0c6b-473e-a33e-06b44f3c45ef,69ea2523-9f43-4451-b54c-c649ce463435,8467601b-f58b-4d26-8059-ead563b8a9b4,1,2026-03-09T06:31:23.757497
66541d7a-153f-4052-aea5-91e387999d1d,08591601-0c51-491e-8fb8-d784dd33469b,1fe903a8-bce9-4aee-9fae-bf442e043cba,1,2026-03-09T10:05:22.614657
b27b4fee-142f-4b12-a915-b234888820d4,ce624c54-e61e-4ab9-b992-c6dd61e3dd0f,0176a39d-8307-4159-a4ba-6bf31497f2f7,1,2026-03-09T13:52:09.961344
fe48bc38-8837-4203-b210-fff22271c0df,76bc28b9-a02c-4157-bfa7-214d0cd5dc29,6a56ecda-8120-4317-9e50-46aecdc5bac1,3,2026-03-09T16:57:44.232342
bdbe5375-7a86-45a8-86f0-ab0b7fe8be20,7521a652-ee56-452e-84b9-c6d8939bcf0e,86e09e02-c67e-4d65-a729-f4e122d6dbf0,2,2026-03-09T03:05:46.322073
b0f0ee60-a3c2-439d-9ed9-fa244983e6a8,d1517d64-79fa-4ca3-a8e7-96984c420ffc,4fbcc918-1595-43df-9b9d-9fba66e14525,1,2026-03-09T09:31:58.932856
246b0c9e-f91e-44da-8d02-fdc440d44181,75c578f4-65a7-408c-8cf8-f2ff76a3b11e,c6a15308-8e87-4278-90b3-271366096154,3,2026-03-09T23:35:10.317803
4450c456-2bf0-41cb-aad6-390ad8ee3d9f,c30f324b-c0d9-488d-8ee0-6deaabff01a4,6a0814ae-43fa-4241-9e87-e7ffd17b0191,3,2026-03-09T03:28:16.442117
6d8b4cec-b1f6-4614-b391-e58953780695,4aed1304-a14c-44b3-a63e-51b2d661e1d0,f10a940e-9e0d-4bb6-95e6-3e24ff703885,1,2026-03-09T08:33:53.233309
981c05af-070e-463d-8533-0658b5a72fed,76bc28b9-a02c-4157-bfa7-214d0cd5dc29,fc8e5b6d-c687-4b2a-8dc9-71b980466900,1,2026-03-09T13:02:17.950301
b8da09ad-bc05-4d71-8414-2df20a44ee5e,25c8d501-4dba-44ea-b718-5753908a70b7,18416145-a305-4a9b-b5ed-37fbad6844cf,4,2026-03-09T19:13:17.314911
f328e46d-533e-450c-825b-4e88322f6647,c73d82e2-df6c-45ce-9d6b-63f62186452a,b18b7b19-831a-4613-a300-62ae620953e4,2,2026-03-09T21:00:57.565651
7832be9c-b046-498b-9abd-fdec1a53985f,1104ec04-6ba6-45c2-9bc5-22e1486a6406,ad52e02d-2b11-4412-8e70-5dfac7391c49,3,2026-03-09T02:24:45.530635
38c41b6e-c575-4e1a-9d7e-f3e6b9f12276,d504f4c3-0005-4ab4-aa36-97e5750af57e,61b29a81-8a85-414a-9d58-7d5f8d5450fc,4,2026-03-09T20:26:25.309084
058c971b-1ef3-4725-b7e6-b2d4a611296e,63274d6d-8d7d-4727-86b4-b09bcb82fc19,dc04883f-1f39-416f-8f78-333b2da6547f,5,2026-03-09T05:35:02.437456
9c77af71-59ca-47c7-b22d-14fbc005c69c,76bc28b9-a02c-4157-bfa7-214d0cd5dc29,a24ded1d-3bac-4256-bcbf-f5083678142c,2,2026-03-09T11:53:43.834733
ab43671d-21b8-4ec1-9020-47dac3eba84b,0307f7f3-c968-40b4-9a4e-e28380b93c0d,ee3a08d8-5bff-4af9-aeba-e3799f1a6f81,5,2026-03-09T05:03:29.509633
33ae3f1e-610d-4057-8983-6f0aad3f1055,a73783da-f5d6-4738-9bdf-127b1d6f987a,5e86237c-aa2c-4c83-9b53-943c20a50764,3,2026-03-09T20:38:15.159510
e03684b6-8dd0-46b1-b31e-e69ed3e92069,2745a808-04da-41dd-9307-5b806b6f5cd4,2590907e-d863-4dde-9021-5e0c1656575b,4,2026-03-09T10:15:04.382550
8a7b771c-795f-40fd-9ba8-abdf2d4fa021,843ac06a-2621-465c-bce2-cdaf5b0ae07f,4c5667c7-022e-4bf5-9829-70add4294f01,4,2026-03-09T06:52:46.261550
ec2f2692-cd23-4d75-a669-003a318a0e3a,01eaeaf6-ac2a-4725-be5a-fc5458eee809,d4ec674c-058b-4247-9d86-46355334f022,1,2026-03-09T09:13:55.482924
6d6edc7c-f0d7-46d6-8185-97a74d8cac0c,965ee1d8-a407-4105-9677-956c43e4eb21,76124e90-2f27-47fc-a529-8402694f4901,4,2026-03-09T11:29:35.662534
5fe0a878-e1d7-4208-9f93-ba15aa99c0c2,b0756c9a-75cf-4297-a0ba-a1f5e3a07806,02708ddb-313a-4815-aebb-260862540f97,4,2026-03-09T14:29:04.729072
88a7535a-75cd-41ac-b0bf-ffc73345fcb6,e7a0624b-f6c7-4115-88ac-85384faf4a5e,34f3860f-cadf-4e81-b5d7-bbb62f9e6b8c,5,2026-03-09T01:08:02.900333
153ff218-8d7c-4942-abd1-421a6ff60abc,099ae642-2ed4-4060-a0f0-cc5af2085545,914bce3d-8363-49dd-b171-0803e5b02005,4,2026-03-09T21:25:06.592397
560549a0-0074-4278-8392-18264e38eef3,9434c3f1-cd30-4b96-8f21-8b25ea55d35f,2f8aa830-40a4-485e-a024-c94f7aa49629,1,2026-03-09T19:57:08.979068
4b642d04-6503-490e-a7e4-a3996d802cf3,ff333754-67f8-4eda-bc81-fb6d500d6329,4663a5f0-d823-435f-a56b-961e348d2a97,1,2026-03-09T03:22:39.834764
10b52adc-29d2-4a97-9a1f-f15c94919c56,75c578f4-65a7-408c-8cf8-f2ff76a3b11e,df8385b2-a4de-4e6b-8a9e-6f42dae15258,5,2026-03-09T18:57:01.493793
19e7805d-1a9d-4f08-9ebd-89a79312bf56,1390792b-f227-4d28-9a45-8ab89cf7686a,4fbcc918-1595-43df-9b9d-9fba66e14525,3,2026-03-09T21:09:39.106215
1540e41c-9b24-4b34-b50e-e1ccd2ea355f,bff85c51-0e52-4369-9603-68c47219e19b,60e5f4bd-bfd3-419a-bac5-9fe323bd0e23,3,2026-03-09T16:52:16.066271
e76576ac-c0ae-4573-86a0-ec7d6fd78039,89263932-0005-4301-8f28-bb1ddf6eb538,a0d90141-d046-4f4c-80d5-7375452874fd,1,2026-03-09T02:37:24.527383
4acb48eb-4369-44d0-955e-fd2c514e4917,fbd55adc-1a41-4d25-bd3c-47ee20d7bd2b,370c0d0e-ed1f-4c7e-ab27-40adf09dfc37,4,2026-03-09T22:43:29.756303
39c76d8f-27b2-4fef-a24b-e0d714c32f7e,a3402482-3947-4de2-9675-d55a16f5c234,9061c081-076f-479c-8083-7e95ca742073,1,2026-03-09T16:57:30.964146
39b00311-d702-485c-a406-524f7d0caeea,ad7d45a0-8d91-4773-a925-2517b3812145,6f487375-a009-4e32-88cc-fb4cb418da52,4,2026-03-09T22:38:41.320161
2cfb13a5-f863-44db-88d7-41a790a8776a,af78e8f6-4d59-416c-9fd8-fe737feaec6b,6ee9b035-9f0e-4384-b00a-ad2ff61199fc,4,2026-03-09T01:40:02.558366
209ea6ba-65a6-41df-ab23-390e98a29761,e9bd7608-8405-49a8-a5e5-18fb0fd97370,265589fd-4c96-4e50-830f-3fd0a2de7867,4,2026-03-09T13:49:27.416825
235b4e43-1cbd-4e5e-b3e1-ebd27b113e4d,099ae642-2ed4-4060-a0f0-cc5af2085545,32f2cd82-43e3-432f-9651-b772abeeff98,5,2026-03-09T20:03:12.919266
d5d55318-4c64-488c-91da-178ea8b302c3,1dba1b08-ee91-48e2-b197-663a418180e4,d6aff172-1f6c-40d0-ae20-d791c39650fd,4,2026-03-09T21:25:34.113683
8bddcd4f-40bf-43db-b95b-4ff415d4a948,4aed1304-a14c-44b3-a63e-51b2d661e1d0,793847b7-e99e-49f0-a2ad-d8e71212bef1,3,2026-03-09T02:53:00.422286
ab576038-d1c6-46f8-924a-533d54adf4c5,099ae642-2ed4-4060-a0f0-cc5af2085545,a863936b-d764-4167-afdb-0519c8930c88,1,2026-03-09T18:10:08.958392
8a9416de-5a4e-4b58-8d79-4c31dd89e993,08591601-0c51-491e-8fb8-d784dd33469b,df44db2f-fb09-40ea-8d41-f30bb0de1ff6,1,2026-03-09T15:44:01.591461
f85e219e-b00b-46b5-98f4-bc8724beede5,18d46960-de94-45e3-aa6e-d529a50c86ee,68b0c68a-0a1e-4ee1-a5b8-b9e8c4434d68,4,2026-03-09T22:58:13.813966
737e0933-86e3-42f8-a0d6-c1d331687703,e13b4fc4-1218-44c0-b919-3e9045b14b10,7017e59a-48ec-4afb-8118-5566ea703ae6,3,2026-03-09T06:16:05.582951
650967ad-c688-4be6-b8d8-02bfe1f4137e,8d9f5788-8748-48d8-8f45-cd837cb53aab,a5fd197d-8f20-4147-95e4-a57cc81b3076,3,2026-03-09T10:55:08.559321
863d2a69-dfd4-4dc2-8ed5-fbdd4521a467,965ee1d8-a407-4105-9677-956c43e4eb21,fbbfd133-c6f3-476c-9fb0-58b39e4ef803,1,2026-03-09T06:11:51.427690
e0779f64-29f7-4b58-8126-49c8e7bb2f4b,b9e4461c-2170-4234-bdf2-d5a8e6529551,2a8824c3-710c-4a76-8bbd-a9e0d10e3ae1,2,2026-03-09T11:52:19.800590
a3ffc927-cc84-4f40-8ccf-8560bfeae562,a3402482-3947-4de2-9675-d55a16f5c234,a407e692-e55d-4288-ae51-2a3acbf3d3e1,2,2026-03-09T10:57:24.141899
e2865b5a-5b96-4df1-9831-17201967dded,328d6c56-0d91-48de-911d-77e0086f6883,edc9ebed-cf6b-46bc-a0f4-6a9cfa8cd4b6,4,2026-03-09T23:25:03.419984
f555f0d6-e190-4200-b85d-36641c138e3a,d01312db-eef1-445e-a609-659c4cadd8ae,df19236a-6800-4a3c-8c43-5b60e259e639,3,2026-03-09T13:11:53.813484
ebf46259-0d22-4224-b202-33562150ce8b,9d5a1766-e735-4552-b078-dab59b3a9269,de239ca0-708c-4575-abbc-2a741e0f56a9,1,2026-03-09T14:31:38.297100
cabd2dbf-2403-47f6-aeff-9c954b1fed42,94287bc4-f048-4f32-a415-71690c1bbfa0,1c3f1a43-20e2-4d16-87e5-58e01fbcdb18,4,2026-03-09T22:50:14.320932
d7b89af3-5013-49ff-977e-c940d09a36bb,5b9509d0-dab0-425f-a043-82e0c1eb277f,c1f2376d-b9f5-4604-be22-71a847fd3477,2,2026-03-09T00:59:45.232456
5b89426b-96a1-49ea-947c-c7d6c8e2aaec,ba20307e-f92b-464f-877c-f8dc886a6e09,3f04d15c-e6ea-48c5-960d-3bffa1643c2e,4,2026-03-09T00:56:23.261398
a813c0d4-d1d9-4ea2-947c-322863fca8a1,97a4e681-17fe-4935-a2d7-e3c3411b87ff,3f04d15c-e6ea-48c5-960d-3bffa1643c2e,4,2026-03-09T23:41:48.081151
