payid,oid,amount,method_payment,provider,payment_status,order_status
f5c0561c-5f29-4c15-b8a4-dc06426c947a,8dea41a3-cf74-45ab-b834-d1462d61e046,106.76,Cash on Delivery,Stripe,Paid,Shipped
f14bab5f-cc0e-4ad8-9633-14da9064ece9,7cb9716f-5e27-4375-a65c-97022237cff5,602.62,UPI,PayPal,Paid,Cancelled
d81e1c0a-4a02-4685-ac4f-1903bb4f5af7,022a52b6-7e46-43c7-ba8b-39d99cf6779d,2054.67,Credit Card,Stripe,Failed,Shipped
d3c988bc-390d-47c9-8bb6-7d1109eec975,a9cf971e-4e05-4d5c-b30c-b48efeea8b15,718.91,Cash on Delivery,Stripe,Pending,Placed
b11c4189-0846-40f6-abec-921747361a84,b064f5cc-2cbc-4fbb-9502-a6dfecbcdaca,1311.9,Credit Card,PayPal,Pending,Shipped
d3bbca64-a2be-45cc-b040-bb963b2d1ffe,3649d913-79f4-4c7b-858f-e367967a420a,1682.17,Debit Card,PayPal,Paid,Cancelled
efe7c314-d131-4312-b58d-081023f12dd0,de07864b-a1a3-4254-aafc-9e275a49adf4,123.21,Cash on Delivery,Bank,Paid,Shipped
0a97fde6-52d1-44d1-9554-7188985087e5,2b5ff8d3-f7fa-4ed5-9924-5b3d0c8e0f48,457.94,Credit Card,PayPal,Pending,Placed
164d6ee6-d5ad-4659-a9e9-cc3afdd92857,f79dfa1c-8e0c-4957-b84c-38f7a75b3a96,977.55,Debit Card,Square,Pending,Shipped
0ce942db-0f5d-4c17-865e-9f7ebe312b05,33b2bcea-a943-49de-a905-8296125f669d,2728.9,PayPal,PayPal,Pending,Placed
057dec1b-68a5-4e45-bdd7-d20b49a0b520,7e27d73c-e820-46d0-ac00-79ae8e97c3de,780.27,Credit Card,Stripe,Paid,Cancelled
07ecd4a9-6705-4c47-afa4-4c8ce5a53c5c,9585af77-97cd-4678-b1b8-426bc535bf13,1307.87,Debit Card,Square,Failed,Cancelled
902d15cd-0bc2-4e5d-9bd8-32d73899a5c8,8a7285f6-600f-43e8-abd6-4fd544dcecbb,4106.2,Debit Card,Square,Failed,Cancelled
7b33b6ef-2013-42b3-b327-ffb066f3be75,96e84cc2-3a13-4354-b3c0-6fbc2297977b,1946.95,PayPal,Bank,Paid,Cancelled
41e70edb-8baf-4f82-9a70-1c7337fe1d75,8463be34-b307-4739-a6a8-0d07b74b874c,708.9,UPI,PayPal,Pending,Cancelled
594e2c74-9e11-44c9-8ad9-2cb088af5c58,0fb2e842-14d0-4920-8cbc-0be7f4624f32,1157.83,Debit Card,Square,Pending,Placed
dc0b99b3-aa9f-46b7-b0a0-24aec8f62150,8b229191-1ceb-4439-897a-7407abd8b392,329.31,Debit Card,Stripe,Pending,Placed
177f87d4-9d9e-4fa9-9823-1d5893f04f69,208010d8-0aea-4842-8f15-d6db95a4400e,544.61,UPI,PayPal,Paid,Cancelled
bf7cbd07-354e-4d61-b9e4-6e7e3076a9ef,bd52e3a6-71f5-4c06-aedc-202be9d9074f,1634.19,UPI,Stripe,Paid,Shipped
4e5d183f-da50-4c23-aa53-1b90d8cbccb7,b189932c-e36b-4808-a637-f2d0cbb00386,125.57,PayPal,Square,Failed,Shipped
afd5bbcb-d018-42ac-bc1f-251901bf1670,abfbad52-2cdb-447c-adc7-3a7337ee4c17,1464.36,Debit Card,Bank,Paid,Cancelled
f911a3cb-9d30-473b-9c07-4b31b769e60c,6a0c37d9-e721-4a1a-9a97-b36a5270c283,3166.49,PayPal,Bank,Paid,Cancelled
6cce3521-2e64-45e1-b67c-43d3d317a22f,5c79d6e8-ab09-46db-9eeb-2323dae15561,515.03,Credit Card,Bank,Paid,Placed
f4330664-a230-41e2-ae38-a3448ab6d042,03fa0852-11ad-4910-9458-e0c4f09837f0,1778.12,Credit Card,Stripe,Failed,Placed
2f2f6d3c-56bd-4653-8e42-4f04b88d5222,39d2e109-0cb5-4357-9ab7-d3b3d47bee1f,1941.74,Cash on Delivery,Square,Failed,Shipped
5546e78b-0165-47ee-8bb5-76380a3e4dff,1f490b80-2226-4f95-80b0-1c479c9a6ee8,4431.4,UPI,PayPal,Paid,Cancelled
be79c747-01d5-4ea5-b3b7-79b46f44f20f,2b1b7a62-fe6b-4a94-b726-26b8575f35d7,1888.46,Debit Card,Stripe,Pending,Cancelled
73514970-b288-4ab6-a950-946cf93e3159,b19fcbc9-c64d-4018-8c09-f44eeaec49c9,514.35,Debit Card,Square,Paid,Cancelled
0ba7d027-dc21-4e23-a020-10153ab40c9f,d1aab0ea-753a-454a-a62d-f2cd0cbf79fd,777.43,Cash on Delivery,Square,Failed,Placed
1524cf1d-526a-4c79-a603-6f748f2b06ae,19c1fc8d-f658-4e39-bc20-a73902e127b1,158.05,Cash on Delivery,PayPal,Pending,Shipped
ff0fa26b-4a3d-4b6a-a746-b524ba6fd4ca,d0044eaf-40d9-4997-b2ba-7ab99f4cda85,285.09,UPI,Bank,Failed,Cancelled
2189fe5f-91a8-4014-86ca-5eb238f16f1b,e380a1c5-bc34-424e-af87-358bced28157,1941.99,UPI,Stripe,Pending,Placed
997c7be1-56a5-4b4c-9180-3a4ac0023476,25070946-12e4-4e35-89de-cdf991344885,1321.78,Debit Card,Bank,Pending,Shipped
a05d7d82-0482-4ca9-afd7-b356f8ccf90b,c633a03d-e1f2-4c20-82b1-42930ef4000f,1935.85,PayPal,PayPal,Paid,Shipped
60431806-82c3-472e-8ad8-7290ada0cddf,788c3ec9-ac5f-40ea-88f5-3d5932906c01,895.53,Debit Card,PayPal,Paid,Cancelled
2a89b8f4-5690-4c4a-aace-bdfcb9a68fd8,1702f052-a430-49f9-833d-d8d2905bd813,796.36,Debit Card,Bank,Failed,Placed
e3b13d1a-4cc0-4300-8806-0d0fbea8a664,8c9f7b50-a6a7-447a-aea0-4b33df737803,1625.48,UPI,Bank,Failed,Placed
