payid,oid,amount,method_payment,provider,payment_status,order_status
385a9081-fd84-43f2-8228-98cb0d8351ab,cf3816b2-975d-453d-b148-467a69dad3b0,2266.79,Cash on Delivery,PayPal,Failed,Placed
80f74136-3065-423c-874d-8c95a16dc21a,9982eba1-05af-4f44-b19c-35ff3eff3e6d,2350.29,Debit Card,Bank,Paid,Shipped
aedffc8d-9470-4743-a7a9-541a2120e3e7,6c683846-8aaa-43db-bd8d-f1bad83b6f17,1355.16,PayPal,Square,Pending,Placed
f6b9e88f-a969-4b54-9182-775c0ecfd52f,8542b4ad-d024-4cc5-8ea4-320ad387f4ac,750.27,Debit Card,Bank,Pending,Cancelled
54104018-b5b0-43df-8a17-6d73a1f39c36,09f4f0d0-48e3-4467-bc7d-8f9d2358a2e5,513.87,Cash on Delivery,PayPal,Pending,Shipped
fbb16ba0-c7f1-4faa-ba1d-c22afea54deb,e7b93645-e613-42c0-8c2e-2528b1f8f982,2880.9,Debit Card,Bank,Paid,Cancelled
28430f58-36b9-437b-bbb3-0d78a4ef7cb4,d88670b6-ead2-49d1-9308-cae745e3f169,849.87,Credit Card,Square,Pending,Shipped
befe3ec8-3d26-421d-8a3e-3452e8c853fc,aa1c7836-8772-4975-ab95-072af086d8f2,2404.58,PayPal,Bank,Pending,Placed
7f440c7e-0840-4069-805f-463e9e42ac5f,c3c6e56e-5a7a-4c77-8bcb-7991a4515000,152.55,Credit Card,Bank,Paid,Placed
97ad8e8e-53da-47a7-a48e-47e8c57955e0,5c178884-7594-4272-b0ff-cca224eb06f4,894.9,Cash on Delivery,PayPal,Pending,Placed
3bdf8ca6-0230-47ea-a769-8e9992ea24da,ebd97644-c11b-45b7-8d45-d7555ac3f878,1635.42,PayPal,Square,Pending,Shipped
fa59ddff-1704-45c4-a320-838afcbefefe,75be9d8a-7704-418a-b19c-2a58794c55be,703.19,UPI,Square,Paid,Shipped
9d39e66a-9f5a-49b2-9ce0-bbcd17b73839,e9f5b864-84c9-4e40-8912-d51cf53466c0,101.36,UPI,PayPal,Failed,Shipped
3ba5a634-6c2b-4fba-8c7b-c022354f2739,39ee3d12-3ab5-48e5-8ea3-0aba54a2e7b8,792.29,UPI,Bank,Paid,Shipped
c32c1168-6b6b-4580-b15f-cc36d7f89c0f,33363bdf-bdeb-43f8-b36b-9d044ddcaf45,606.45,Cash on Delivery,Stripe,Paid,Placed
fa3db9d9-3aaf-4bf6-be3d-c24671a08528,0aa7ad33-b024-421c-b8fb-6f5683fad481,376.68,Debit Card,PayPal,Paid,Cancelled
5b837f34-dd63-4847-8d6a-5841f853ca61,112fd5b0-342c-427b-8f54-394abf72b2df,2199.35,PayPal,PayPal,Paid,Cancelled
7e9b4576-c293-4d25-a009-f4134ebe51e2,168f0903-da63-46c0-9a3e-b81cc5d49633,224.86,Credit Card,Stripe,Paid,Cancelled
ebe7b70a-590c-4bc6-9cda-59a22565fd00,027eb3f9-0139-4939-9d61-b04637c141f8,1652.15,Cash on Delivery,Bank,Failed,Cancelled
4ac6eab6-8540-47ea-89d7-bb5db82bd555,1923e2e6-7a57-45a4-808d-80d23b2d9a15,590.02,PayPal,PayPal,Failed,Placed
5a184b9e-7222-4450-8a7d-007b471114c5,160c6a1b-843e-4c2c-9933-3bf3714a8197,981.89,PayPal,Square,Failed,Placed
53f044d2-7daf-4ecc-aae2-d6e9f41ce05e,27bd7a0b-8c1d-4eac-9380-335af83e5881,655.95,Credit Card,Square,Paid,Cancelled
e47d2bbb-4d20-419d-a229-54baa9311001,2727d64d-23b2-4987-a3ac-c99b328dad3b,14.14,UPI,PayPal,Pending,Cancelled
1a7a3ee5-2736-4a09-a372-468871215013,5d9d3e15-3941-4e08-8eeb-6fd9e64bbbdc,1310.29,PayPal,Square,Paid,Placed
03b5ec48-51f5-4385-b674-257f4fccc6ff,02ebb7d1-cfa7-40d1-b3de-960b1f5c87e7,1867.47,Cash on Delivery,Square,Paid,Shipped
162995d3-7e7f-4734-81f4-0bc5b27f217c,973f851c-d068-49f5-92d3-e308a5823b02,2620.62,Credit Card,Square,Paid,Shipped
38c4a7eb-0949-450b-9b5b-bc1fd8bd5713,f153f24a-7c0f-44c2-b03c-36a1281b0682,2025.93,Credit Card,Bank,Paid,Shipped
2f2a714d-42cd-4016-b50c-399ac5724b51,e78cf409-c1c3-4ab0-8bb5-ff396b3a78d6,1246.39,PayPal,PayPal,Pending,Placed
b1e22e6f-4ae6-4e0c-888c-a15aefd6c24e,391b1c39-cc79-4cd8-aeae-d020e98f59ba,1374.06,Credit Card,Stripe,Failed,Placed
