pid,pname,category,price,brand,supplier
f884dcc1-cda3-4363-901d-d178dda3d97d,Majority Very,Sports,381.33,"Rich, Norton and Roberts",Kennedy-Rodriguez
e72d7f52-4129-42a5-af9f-42e2b5fe91c4,Executive City,Sports,548.95,"Crawford, Rios and Thompson",Douglas and Sons
1a1e10ca-a929-4dbf-b269-f6eddc3f23ca,Case Air,Home,153.73,"Richardson, Gutierrez and Werner",Ramsey Ltd
0b4b5bdd-f38b-446a-b6ba-6afc676b19e6,Present Man,Home,408.48,"Mccormick, Brown and Allen","Curry, Leonard and Green"
6a2e4682-ab46-403a-a32d-89d045d02e84,Politics Employee,Home,585.05,"Madden, Turner and Reed",Diaz Ltd
4573d9b6-2514-49ca-9646-2f1c4d39e69c,Our Kid,Electronics,353.78,"Nelson, Crawford and King",Wagner-Richards
3a727119-0d6e-4cf2-a75c-dad3605a1bbe,Exactly Ability,Home,533.94,Ball-Bradshaw,"Williams, Thompson and Drake"
d58c1a6d-cf35-457c-aedf-500b9cc847e0,Radio Class,Sports,179.57,Mccarthy-Franklin,Waters-Roth
ecee9fe8-e471-4e00-958d-94660bb3a314,Near Who,Electronics,789.0,Smith-Daugherty,Fisher-Miller
6f4bad59-bf32-46fa-825a-df6379f2b984,Across Glass,Sports,112.06,Jensen-Flores,"Ellison, Harris and Houston"
e2ffec29-d7fc-4206-a9b8-decda029a580,Yet Whatever,Sports,986.19,Jones-Thompson,"Perkins, Charles and Bailey"
a310e470-c6b8-4b18-a061-b5f7803aab7f,None Term,Electronics,424.77,Torres-Stewart,"Ward, Martin and Todd"
554b65e3-0990-4d19-9f5f-169edc87fb87,East By,Clothing,241.11,Wilson-Pennington,Tran Group
ae388bc9-5fac-4a55-869c-93e727f93b02,Education Writer,Clothing,599.44,Schmidt-Diaz,"Anderson, Allen and Duncan"
d79e24ca-caf7-4f84-9d09-6f1108c7eda6,Strong See,Home,569.26,Williams Inc,Nelson-Nelson
b27c0c24-c4c2-4d9b-b7f5-778825c60263,Hit Matter,Electronics,49.47,Nicholson-Mcintosh,Huynh Inc
af2ba993-1fd0-4adc-94ae-e82a79f9b99f,Health Scientist,Books,273.44,"Chapman, Burnett and Clarke","Nash, Rodriguez and Carson"
4e32fb49-b926-4728-a4a1-6307b8831b1b,Although Onto,Home,348.89,Taylor-Delgado,Myers LLC
593a1165-689f-446d-9597-9bee2fb742e6,Buy Upon,Sports,731.66,Ferguson PLC,Krueger PLC
784be139-f490-470f-b9e4-64cb2d31a004,Nice Part,Clothing,946.63,Lopez Ltd,Gomez-Case
238f60a4-4e27-41d0-91ed-e96194474560,Yeah Data,Books,219.76,"Vaughan, Bruce and Copeland",Jones Inc
9671f20a-da8b-4711-b8b9-fbdcc93e851a,Often Suggest,Electronics,312.63,"Krueger, Howe and Palmer",Horton-Combs
e9892df0-f163-4fbf-a15f-9d3fa56a7c64,Fear Attorney,Electronics,905.18,Avila-Price,"Miller, Romero and Russell"
8116fd43-cfa6-4eeb-8fb1-8b1a762d9b32,Write Employee,Home,528.56,"Welch, Barrera and Campbell",Woods-Newman
898f731e-8b4d-437f-a15d-f21426c2c51e,None Court,Clothing,998.06,"Marks, Porter and Howell",Johnson Ltd
ca755c6d-370d-4225-b632-b3d91c5f374c,Why Trouble,Electronics,253.38,Sherman-Riley,Richards PLC
d8635dee-f814-41e6-922d-9c20cfa51058,Wrong Imagine,Electronics,584.78,Lopez Ltd,Patel PLC
2c9c75b7-0ca0-418a-872d-84c1b3c107e0,Half Data,Books,514.97,Kelly Ltd,Horton-Williams
5f0824f8-1519-444e-9e1a-384f2786833e,Better Team,Books,980.05,"Mercado, Hawkins and Bryant",Wagner-Herrera
849c293c-9984-4dbd-ba9a-c0e52fc82352,Bar Science,Sports,394.27,"Malone, Haley and Levine",Macias Inc
610a82c4-e114-40e9-9f60-f6d6841571b1,Consider Forward,Electronics,657.55,Graham and Sons,"Bailey, Byrd and Perkins"
b792249d-f2d3-49c6-bdb4-602b6fde76c8,Cause Option,Books,54.89,Hill-Valdez,Rubio-Lewis
cf2c0290-badd-4e39-8e5f-fe8863f6a4c3,You Lay,Sports,49.08,"Martin, Combs and Montgomery",Montoya Group
a06c0fba-9873-43b7-aa90-7f15872faa45,Create Central,Electronics,202.66,Galvan-Lozano,Coffey LLC
d02194c4-ba7c-4183-afaa-a7f0836a3068,Image Official,Home,95.15,"Martin, Hensley and Castaneda",Jenkins-Johnson
61ca4c2f-a6c9-486c-9942-f44dc8a349fe,Attack Public,Sports,434.53,Edwards PLC,Wagner Inc
88266944-4033-4816-bc51-88937543f119,Maybe To,Sports,990.11,"Armstrong, Ibarra and Thomas","Wyatt, Hayes and Wilkins"
a3dae2dd-f19e-4211-a51e-d202668a6680,Let Customer,Sports,209.44,Webb and Sons,Hart LLC
397b0cdb-f38f-441e-b405-dbd420c55c7c,Safe Serve,Home,257.59,"Delgado, Bell and Jones",Dougherty-Woodard
ba817f72-2d04-4bbc-b687-73e1e596d63c,Yard Write,Electronics,170.24,Hernandez-Reid,Wright LLC
8024cb7c-01be-47a1-aa08-e1c0b21faf87,Structure Very,Books,704.26,Williams PLC,Martin Inc
53035a16-5e5b-45c8-be9d-b93e8dc4743c,Debate Quite,Home,611.51,"Grant, Dawson and Green",Smith-Joseph
