pid,pname,category,price,brand,supplier
d0264608-6561-4326-b25d-1fe25696b08b,Site Per,Home,921.15,Phillips Ltd,Garza-Thornton
4cd65e2d-a40a-4ee5-92d2-5e4a77c88593,Above Effect,Home,801.38,Lewis-White,"Cuevas, Drake and Hamilton"
b9124382-f5c2-400b-95b8-45dc55a24845,Dream Able,Books,457.24,"Mcmillan, Price and Morton",Mendoza Ltd
a89f4d83-0a55-4f22-8fb3-503269f6a0dc,Issue Control,Books,565.63,"James, Moore and Carter",Williams Inc
1e3574df-0985-4cf8-ad83-77522a5a1212,Outside Onto,Clothing,642.9,"Lucas, Edwards and Mitchell",Ross-Ramirez
9e01068a-32e0-4e26-aad4-424e947d67c6,Republican Sometimes,Home,118.58,Warren Inc,Lopez and Sons
e71d36fd-bc72-4e43-82c0-592ec896a5cf,Yard Full,Electronics,507.5,Brandt LLC,"Levine, Coleman and Bailey"
aef453b6-b186-42e7-b8f8-e7c90e7b186c,Stand Market,Sports,499.4,"Lopez, Sanders and Bridges",Spencer-Tanner
f176aa81-f9a8-4c3c-9924-5079785f5ed5,Discussion True,Home,127.35,Collins-Carroll,Hunt-Peterson
cf78280b-159f-4c92-9236-94d133bd7263,Daughter Already,Home,427.92,"Crawford, Benson and Humphrey","Fuentes, Johnson and Stephenson"
e79409fe-c061-46a9-ae14-7de6ecd4a465,Theory Song,Books,475.6,Heath-Jones,"Bailey, Little and Savage"
84cfec5d-a521-4b9a-b585-5143b15835bb,View Tv,Home,702.46,Adams-Nolan,Rodriguez Inc
5d1a2abd-ba93-4a1b-b155-20dd113c5f77,Most Foot,Books,949.61,"Bradley, Harrell and Wilson","Smith, Davis and Fisher"
14cba401-d75e-49dc-8557-d410818247c9,Indeed Future,Books,873.79,"Martinez, Rodriguez and Miller",Dawson PLC
d4095fa7-f7da-4d7a-8ea8-3944964afb49,Them Without,Sports,82.68,Davis Inc,Potter-Fowler
ff608a90-3cc8-49e4-abc8-d385ab232bd6,Television We,Clothing,729.29,Sutton and Sons,Williams and Sons
b0eb9606-b4c4-4d4d-bf87-19f82ba6f833,Put No,Home,112.34,Weaver LLC,Brady-Horn
dc320fd5-2291-44a1-861b-3f4c89a4c29a,Class Standard,Books,945.23,"Davidson, Moore and Moore",Richard-Medina
a5bcd038-22d0-4922-a646-a40e6a521b86,Center Professor,Books,350.76,Andrews-Randolph,"Smith, Reilly and Jackson"
65b9b40b-13b3-48b6-9fb8-0143ef34747d,Smile Mind,Home,886.19,Stephens LLC,"Carson, Cortez and Parsons"
95dc9f0a-553d-42d1-acda-2ca313656041,Poor Seven,Electronics,449.8,Mccoy PLC,Hutchinson Group
b091fe68-1aff-40c4-b5d3-da4e83b86fba,Feeling Book,Books,449.9,Moore-Holmes,Phillips-Baker
