payid,oid,amount,method_payment,provider,payment_status,order_status
eefbe85b-1b63-4a17-a4f1-a33f1e5719f4,c812450e-1f16-497b-a353-080fe531bb66,673.31,Credit Card,Square,Pending,Cancelled
19130a23-2e9a-4c1c-9311-ce9ea61d2cf8,1927f744-de83-48b7-b085-f9779fa74040,1015.35,Debit Card,PayPal,Pending,Cancelled
a93c6e4f-cb0d-4872-aafa-d0bbe9855891,92e5c4da-435b-43ea-b0f4-f9e3441ceb46,643.95,UPI,Bank,Failed,Cancelled
caf692c1-25c4-4bb5-8c51-0e278a6b5f78,0336f7bc-01ca-45ab-8191-8a0df601736f,514.31,Credit Card,Stripe,Paid,Cancelled
397c3ddc-5aab-4e51-9eb4-7b3058e23ffd,8ca3d117-7bdf-4fa3-a8bc-b7203d42cc94,630.97,Debit Card,PayPal,Failed,Placed
bea77705-3eba-4beb-b4be-754c2270dbba,ce894ee3-d5d1-430b-a121-77efce4752dc,710.96,UPI,Stripe,Pending,Placed
bf93193c-e2fb-4c96-9b9d-439bf282e7a7,fa01eb63-e6a0-4442-bf16-56e3efc8fe41,1807.35,PayPal,Square,Paid,Shipped
284f468f-fb58-438a-8a60-f6698dcdee32,1c78e1e3-6040-4929-8a9a-87394d2b3b3f,2447.31,PayPal,Bank,Failed,Shipped
544c4316-b856-4d31-8087-bfbcfe16528b,2429e621-c6c8-4f96-bd26-8415e3935ea7,1508.81,Credit Card,PayPal,Pending,Cancelled
63efaf90-ac05-4e01-ad0c-0d5baa676319,33ee1b78-7e7c-442c-a87f-75ac5cb76f80,2723.93,Debit Card,PayPal,Pending,Placed
bd28e8db-7b3e-40b5-9f70-a8f9b52da8f6,2e52ce3e-a6ab-4d0e-bb1f-de19c186faf4,2496.34,Cash on Delivery,Square,Pending,Placed
9f68c1b7-fec6-4488-a3a8-4c188d47c6c0,14d297e3-64a7-444e-b8b1-2b5e9c12930c,689.87,Credit Card,PayPal,Pending,Shipped
27200bf0-78ef-4bf0-ad57-bdfcb9882204,e700c419-13ef-4c5d-92d5-8207eaa90cca,3001.79,UPI,PayPal,Pending,Cancelled
5d2e4dc8-c907-4d7f-a433-d88751e96ab5,1adc5e6d-6f4f-4d3b-be53-88570672da2e,51.11,UPI,PayPal,Pending,Placed
14d0ec22-0906-4b83-a83d-eea62c3d8798,3e4f8c05-412f-4110-b76b-17e368bd139e,1994.74,Cash on Delivery,PayPal,Failed,Cancelled
7b54c034-4539-4bde-ae9c-4878d3acfff2,1326330f-64c7-4969-861b-35cf018473f7,1565.1,Credit Card,Bank,Failed,Shipped
4a2aa020-aafe-4017-881e-5b815125a2db,33b1edc5-aec0-48cf-aebf-0ca80a1fccec,763.76,UPI,PayPal,Paid,Shipped
d2f2bf61-e0b5-4426-ab24-afb7573769af,2aead82a-fbf5-4fc0-b50a-097189d2ac86,147.66,Cash on Delivery,Bank,Failed,Shipped
0f1fe9f3-a033-40d4-aaeb-58a4a2e8ba74,e854510a-b00c-4b50-897f-1c10a9d5561a,926.3,Credit Card,Square,Pending,Shipped
022e9aea-e132-4f4b-bcb7-0f5e1656669d,917cb45c-cf67-43dc-915b-62236b2181e0,709.49,Credit Card,PayPal,Pending,Placed
0b19c1f3-326c-48c0-9f7f-dfdb23ab41e5,1dd2f99d-98db-447f-895e-0e0833dc03bf,2378.66,Cash on Delivery,Stripe,Paid,Shipped
644a5190-baf7-4066-ba27-f2b41ebefa21,cc9d2741-c236-4228-9156-d79540ce2d10,1952.23,UPI,Square,Pending,Placed
