pid,pname,category,price,brand,supplier
2c22d73e-1db4-4100-8d0d-b1625ba785ec,Heavy Political,Electronics,592.82,"Donovan, Davis and Colon",Fuentes-Sanchez
0a2e9e1f-86cd-45bf-9261-dfeb14bb6961,Thing Member,Books,862.18,"Davis, Pennington and Hernandez",Barker Ltd
c024d18e-3c5c-4ede-a2dd-bedd40c2c09d,Production Good,Clothing,653.22,Bennett-Soto,"Hicks, Pruitt and Farmer"
065ae2fa-e52d-4217-92c7-6ea92498be2a,Meeting The,Books,725.87,"Ford, James and Ramirez",Schmidt-Smith
4e7977e2-f6c2-444c-9d68-1608c5a0293b,Address Water,Electronics,922.31,Torres-Charles,Pittman-Davis
0370e896-887f-43f8-ab71-e0f69c88bd19,Customer Consider,Electronics,263.04,Bishop Group,Francis PLC
71c45a5d-9724-45d0-aecc-c29578211464,Recognize Marriage,Books,741.5,"Bradford, Buchanan and Stein",Rice Group
ba030339-9c93-43b2-8c5e-35ddf59a5456,Check Watch,Sports,233.84,Davis-Smith,Williams Group
c7905b5f-6d27-4728-9691-17cf61cea36c,Hit Thus,Home,85.31,"Lamb, Martin and Bernard","Vargas, Nguyen and Rose"
be940c40-c2c5-41d0-a330-9d739cdda34c,Where Country,Clothing,589.14,"Simmons, Gonzalez and Hayes",Mata-Thomas
b09d7e40-885c-413b-ba57-bbc502f1dad4,Forget Positive,Clothing,508.56,Zimmerman Inc,Johnson Ltd
cf045bfe-c95e-4040-843f-48a0b0877367,Discussion Sort,Clothing,514.0,Leach-Pruitt,Smith-Vazquez
d1e49e63-f9d9-4c1e-922d-e0665a64af1a,Guy Against,Sports,711.13,Steele PLC,"Abbott, Brown and Hudson"
8a8f7d82-571b-492a-9739-5cb5b07e27d1,Drop Society,Electronics,157.24,Pugh-Moody,Ponce-Abbott
8f518345-b6e7-47a7-a8e8-fe6c70db8a99,Born Image,Sports,858.89,Cameron-Garcia,"Owens, Martinez and Dunn"
4f1b75bc-c374-4392-b5b1-9818e1500122,Though City,Sports,836.36,Castro Group,Chaney-Baker
43435b57-c56f-41a6-8b3e-0788ebc313c6,Current Wife,Home,665.4,Olson-Ellis,Peterson-Erickson
2b35cab3-9143-4231-9a4f-7e96894235dc,Range Crime,Sports,705.18,Smith Ltd,Duran Ltd
901b4616-d350-416d-9343-7d0a3f149a7f,Many Somebody,Sports,651.94,"Cordova, Chase and Brady",Bender Ltd
afcea98a-222f-49c6-90b0-8a11d386478c,Local Page,Home,161.69,Cole Inc,Walker Group
08653f14-ea95-44e3-bee6-3ceae31bfbb6,Common Live,Home,881.16,Leon LLC,Fox and Sons
02a40587-0f0d-40ec-b635-4418d26ae336,Pick Administration,Books,997.77,Mcmillan-Brennan,Galvan PLC
e6169a6e-e2b9-4d9d-82c1-7aa13078fbb5,Admit Join,Electronics,141.72,"Love, Vargas and Gonzalez","Parsons, Brown and Mitchell"
ae2e3869-8fcf-46c5-b0ee-a7d9d1b7a63a,Tree Vote,Electronics,717.35,"Gonzalez, Obrien and Hanson",Hale Inc
7203e281-0418-459a-a2fa-3950b38bb1a8,So Learn,Books,339.49,Potts LLC,Glover Inc
8515bda9-ea08-47c4-8f33-6ebf614d5407,Nor Rather,Books,800.13,Miller-Dillon,Adams Group
