pid,pname,category,price,brand,supplier
f2057b3d-c0ee-4093-8b31-d10bac3ceb97,Race Put,Sports,278.99,Mcguire PLC,Cunningham-Douglas
da268b36-96db-4cef-9424-2554dc1e247f,On Chair,Clothing,894.39,Lawrence-Perez,"Jones, Juarez and Hernandez"
9672f024-9b5f-4def-ac55-2bcb8c6658d9,Most Civil,Electronics,623.32,Rose-Summers,Chavez-Taylor
fefea553-aaac-4ea0-90bb-ba162f3fc2ed,Realize Back,Home,462.57,"Carr, Buckley and Huff","Carter, Thomas and Harmon"
982f79a3-6eae-4186-8961-8fd703264072,Despite Figure,Sports,117.53,Haas PLC,"Taylor, Glass and Nguyen"
0a0c95ed-b90d-4549-b083-5d3926588109,Agency Wait,Books,17.87,Evans-Rogers,Walker and Sons
d2481305-89e3-4e08-9c5a-0a177785fc85,Also Attack,Clothing,643.01,Gregory PLC,"Rivera, Andrews and Estrada"
6dd316f3-8692-4c49-9ad8-7e73a9f8849f,Safe Seem,Clothing,350.1,"Pratt, Garcia and Wells",Olson-Strickland
f3c2cfa5-e0fd-4c24-a85d-a6eb1c77f290,Foreign Visit,Electronics,432.3,Hester-Burns,Kelley-Byrd
39a9f147-cf0b-4678-8f3a-5cb4c3188db7,Modern Structure,Electronics,187.11,Martinez and Sons,Wilson Inc
13e53627-fc4a-4614-8ad3-dd2f6b633360,Yard Father,Electronics,903.52,"Moore, Henderson and Fritz","White, Christensen and Powell"
63592223-bfaa-4fc7-8ee9-7906df97d091,Risk Collection,Clothing,251.37,Sanchez Group,"Moses, Valenzuela and Myers"
cb8e8b9a-40a6-4a27-8e52-09027bc36d33,Race Professional,Electronics,286.13,Rodriguez Ltd,"Dyer, Williamson and Campos"
2d35978c-08b3-4a44-9c18-a0a15d3ddd14,Media War,Books,167.69,Morales-Holloway,Stewart-Graham
17597e08-a7d4-45dd-988a-a7644186cfea,Finally Themselves,Home,641.54,"Hayes, Barron and Dunn",Ortiz Group
07bce64d-659d-4083-b97b-ed9599ebef06,Idea Student,Clothing,825.2,Anderson-Thomas,Mccormick-Lucas
ab638433-2989-4697-86b2-b7727e22c600,Able Become,Sports,193.28,Choi and Sons,Mills-Mccann
a54591df-cd7e-418e-9ff1-7c285e9cdc82,Together Else,Electronics,859.06,"Gaines, Hobbs and Chapman",Carr-Burgess
cec829b7-68e4-4110-8809-f67d1ee723fd,Individual Identify,Sports,237.8,Gonzalez LLC,Ballard-Ramsey
0bafed4e-898c-4bcd-9f85-a30cf42d6e9a,Exist Build,Sports,975.06,Young Ltd,"Powell, Douglas and Chambers"
df88f0c9-7051-49d8-9dc8-6741f9b01528,Seek Attack,Clothing,411.34,"Hudson, Medina and Johnson","Serrano, Campos and Woodard"
7afe5565-4d6e-414b-82fa-b46c1a4611e9,Under Mention,Sports,258.17,Acosta-Matthews,Baker Inc
d8e3c74a-5506-4196-80d4-b607c9d5f34e,Popular Year,Electronics,809.8,Gray-Cox,Wells and Sons
cae37d74-9202-434b-be0b-7d357ffa1a80,Top Fight,Books,126.17,Glover-Johnson,Wiggins Ltd
8192b71d-7eb3-4900-bb2f-1bcc3eefb170,Blood Determine,Sports,97.37,Freeman-Thomas,Brandt LLC
06aec924-4c12-4aa6-95b5-8a71960d70b8,Just Later,Home,10.56,"Smith, Parker and Reed",Ryan-Bennett
e28177ec-be95-42c3-bf0c-465b6d8617d4,Building When,Electronics,997.09,Greene-Sharp,Mcbride-Levy
d25ba51b-1bc4-4982-b088-e56a9e764706,Paper Material,Books,983.45,"Farmer, Williams and Kent",Heath PLC
ae244d43-f456-4c49-a017-4514d718ff74,Process My,Books,314.97,Grant-Clark,Francis Ltd
6319f459-96e1-408e-87b5-129f798b0e88,Ball Job,Home,638.11,Salazar-Garcia,"Ramirez, Warren and Ellis"
931a189c-dbc5-440c-a959-ef769b40312e,Enough Old,Electronics,832.96,Bradshaw-Lawson,Cooper PLC
d0c7126c-aa52-404c-b02f-7160cfd040c3,Whole House,Electronics,475.0,"Taylor, Smith and Conner",Fuller-Li
