pid,pname,category,price,brand,supplier
aa29eb97-69c9-4653-8a69-00b937489bfb,Quality Charge,Electronics,867.46,Marquez-Coffey,Rose PLC
4c60b070-5440-47b4-834c-cef00175b4cf,When Week,Sports,445.06,Archer PLC,Phillips Group
793b9ea5-3d95-4d11-b4f4-cb8aea92bdb7,Under Every,Electronics,536.67,Brown PLC,"Miller, Anderson and Brown"
397384e0-b8a0-418f-a5c7-7a59cb5cda0f,Bit Drug,Electronics,369.01,"Reed, Love and Wagner",Myers-Walker
e53ecb97-0b70-4daf-bf23-2e5865631048,Believe Water,Books,418.91,Rodriguez-Garcia,Rodriguez Inc
262c1bfb-98b4-4529-a548-333f8f65688b,Into Garden,Electronics,681.47,Chen-Cooper,"Church, Osborne and Lewis"
61301023-44a1-44e0-abe5-179b228bdbd4,Like Charge,Electronics,473.17,"Jimenez, Holmes and Wagner",Lewis PLC
503b07b5-368d-4e6b-b920-f01c688f25f5,You Teacher,Sports,785.4,Morales PLC,Wong-Black
ed95b8ee-87b0-4ef6-bf36-5a4c98e3f51f,Instead Argue,Sports,445.28,Hull Inc,"Pratt, Walls and Rivera"
a51e387d-f440-4ff3-a67b-fb4f1841cbdb,Involve Think,Home,44.32,Pena-Banks,Hamilton Ltd
c53f4f40-c2e1-4be0-a0ec-88a8e305e3a8,Region Goal,Sports,340.51,Best-Snow,"Green, Lopez and Buck"
b9203f60-915c-4a56-8ffd-d8c0a5855879,Little Painting,Sports,240.41,Robinson LLC,Rodriguez LLC
1db452ab-24bb-4cf3-92fc-4a95328d9e4c,Buy Ready,Electronics,477.92,"Stewart, Morgan and Lee",Hernandez Inc
4d8f02b8-3d05-4b96-a55b-ff49f2a07371,Whom Nor,Clothing,307.97,"Cook, Short and Whitney","Klein, Lopez and Wilkinson"
c54b8109-f6a1-43de-bd56-6774eb3a1efe,Improve Far,Electronics,206.28,"Ayala, Ortiz and Mcguire",Palmer-Willis
a4dc56ac-21ac-4943-b3e4-fe8fe4288c66,Able You,Sports,285.98,"Olson, Gaines and Ryan",Robertson-Alexander
33b15c1a-3317-4878-bb9a-25b9ca0116d5,Name Board,Sports,669.08,"Simpson, Lambert and Brown",Lopez and Sons
440ea28d-17e9-4253-aef1-b60cc6d4a04c,Major Thousand,Books,980.41,Lyons-Ayers,"Miller, Soto and Adams"
