pid,pname,category,price,brand,supplier
dc29d5b1-7c44-4a6a-a4af-9dc654c4c228,Suggest Author,Electronics,359.24,"Shelton, Jackson and Martinez",Williams-Nelson
68b18edf-5304-4d0d-a38d-83b59f39e329,Career Then,Electronics,400.91,Mccarthy and Sons,Williams-Mccullough
a8a4e92f-d66c-435b-8ef1-5ed66073fd1e,Fund Today,Electronics,952.24,"Stein, Hill and Terry",Mckee-Medina
fd8ce2a4-944f-43a8-b703-dbc6e0c646b5,Professor One,Electronics,817.02,Campbell Group,Rubio Inc
1898be4a-e24e-4e9d-b734-12c69295a391,Growth Close,Electronics,863.69,Goodman Ltd,"Daniel, Olsen and Camacho"
6b0feab7-4229-452c-9f4e-a123d48a82a3,Tv Nice,Home,519.72,Marshall Group,Lopez LLC
924a363c-1408-47ea-8163-e9d988fde313,Catch Pick,Books,159.81,Sanchez LLC,Spencer and Sons
4f11dbf6-950b-48e3-a215-9c691eda58a0,Positive Place,Electronics,13.55,Rodriguez PLC,Smith-Schaefer
ccf50653-7b3e-4925-906d-59a37d49c874,Either Event,Clothing,328.13,Peck-Sexton,Booth Group
76a23779-d03f-4beb-b26e-dafbcb32920c,Short Million,Sports,90.34,Guzman-Webb,Roman PLC
aee8125d-bd7f-4894-9285-979fbcf6cf49,Right Audience,Sports,305.92,Quinn-Carson,Hall-Peterson
3c9cc139-d62c-43b8-856c-6e4e52637ba4,List Water,Books,274.17,Cooper and Sons,Mack PLC
218dd578-66fe-4bc6-b6d0-27a1332cc5bb,This Your,Home,449.54,Daniels-Harrison,Nelson PLC
bd4949d4-57da-47ab-89c6-5cc3badf4394,Specific Model,Clothing,819.32,Levy Inc,Miller-Mcgee
84707b3e-75b0-496e-888d-b619de93c61b,Watch Note,Sports,967.09,Clark Group,"Guerrero, Robinson and Gibson"
128b6ee7-8656-4483-85c4-2cdbd45d51fb,Account Our,Home,570.31,Sawyer and Sons,Gonzalez-Quinn
8ba856ef-bd17-454e-9feb-19a505965248,Very Buy,Home,738.62,Lane Inc,Oconnor-Barrett
591e5804-9980-438f-94e0-62cf5a8c5f57,Similar Hospital,Sports,760.04,Conner-Cooper,Brewer Ltd
2a383ac0-f867-4b45-952c-cfd29339ea99,Occur Read,Home,714.15,"Rogers, Campbell and Kennedy","Mcgrath, Washington and Thompson"
d9bdc436-016c-4016-ac1d-57ab3d6e6597,Give Economy,Home,391.35,"Ryan, George and Hogan",Johnson-Jones
