pid,pname,category,price
e13f32bc-28eb-4547-8691-60bcb1e6de17,Check Assume,Books,433.63
6be45913-7e06-47eb-8a2d-af6fa7bc388b,Hit Reality,Electronics,279.35
0d11d4f2-5c9a-4c46-b767-d69e8bcb9d2f,Unit Dinner,Home,873.03
6bdaea37-5631-4938-b3c7-6fc7706959c0,Produce Space,Clothing,327.58
3148fe07-de97-4409-b03e-b290598932a2,General Group,Electronics,310.25
ff5fc6fe-81b7-4368-9781-f70ad2092307,True Congress,Sports,132.28
e4d481ab-47b6-4dd1-945a-65cc9e1ab5a0,Structure War,Books,719.61
81f07597-e903-4e8e-a1fe-aeed6da9f6ef,Left Above,Electronics,469.34
3803ec4a-73b8-4553-adc7-a4225064a1cc,Grow Suddenly,Sports,107.21
ac0a7478-adbe-4df4-8704-778ec9336a15,Never Traditional,Books,186.31
f0b57a6d-01e6-4250-a3ff-3f8811a6fd9e,Son Shake,Books,399.75
8467601b-f58b-4d26-8059-ead563b8a9b4,Example Community,Books,323.36
1fe903a8-bce9-4aee-9fae-bf442e043cba,Where Whatever,Sports,360.32
0176a39d-8307-4159-a4ba-6bf31497f2f7,Doctor Life,Books,926.56
6a56ecda-8120-4317-9e50-46aecdc5bac1,Fight Stop,Clothing,225.09
86e09e02-c67e-4d65-a729-f4e122d6dbf0,Information Operation,Books,238.43
4fbcc918-1595-43df-9b9d-9fba66e14525,Fine Thus,Books,573.39
c6a15308-8e87-4278-90b3-271366096154,When Establish,Clothing,723.85
6a0814ae-43fa-4241-9e87-e7ffd17b0191,Both Simply,Home,34.74
f10a940e-9e0d-4bb6-95e6-3e24ff703885,Information Avoid,Home,740.42
fc8e5b6d-c687-4b2a-8dc9-71b980466900,Consumer Quality,Clothing,684.28
18416145-a305-4a9b-b5ed-37fbad6844cf,Theory And,Books,658.32
b18b7b19-831a-4613-a300-62ae620953e4,Particularly Hour,Electronics,198.48
ad52e02d-2b11-4412-8e70-5dfac7391c49,Even Rich,Electronics,856.87
61b29a81-8a85-414a-9d58-7d5f8d5450fc,Hear Green,Sports,907.67
dc04883f-1f39-416f-8f78-333b2da6547f,Model Head,Books,275.83
a24ded1d-3bac-4256-bcbf-f5083678142c,Group Production,Electronics,377.62
ee3a08d8-5bff-4af9-aeba-e3799f1a6f81,Produce Eat,Sports,799.37
5e86237c-aa2c-4c83-9b53-943c20a50764,Serve Successful,Electronics,990.33
2590907e-d863-4dde-9021-5e0c1656575b,Impact Bad,Clothing,54.34
4c5667c7-022e-4bf5-9829-70add4294f01,Six Serve,Electronics,117.62
d4ec674c-058b-4247-9d86-46355334f022,On Nor,Sports,191.82
76124e90-2f27-47fc-a529-8402694f4901,Suddenly Season,Sports,149.61
02708ddb-313a-4815-aebb-260862540f97,Social More,Home,840.04
34f3860f-cadf-4e81-b5d7-bbb62f9e6b8c,Spend Take,Home,45.8
914bce3d-8363-49dd-b171-0803e5b02005,Grow Name,Electronics,991.94
2f8aa830-40a4-485e-a024-c94f7aa49629,None The,Books,28.0
4663a5f0-d823-435f-a56b-961e348d2a97,Yes Process,Home,174.07
df8385b2-a4de-4e6b-8a9e-6f42dae15258,Explain Throughout,Home,238.47
60e5f4bd-bfd3-419a-bac5-9fe323bd0e23,Girl Happy,Electronics,799.11
a0d90141-d046-4f4c-80d5-7375452874fd,Health It,Home,799.95
370c0d0e-ed1f-4c7e-ab27-40adf09dfc37,Stand Dinner,Electronics,545.73
9061c081-076f-479c-8083-7e95ca742073,Building Pm,Books,937.17
6f487375-a009-4e32-88cc-fb4cb418da52,Cold Probably,Electronics,70.8
6ee9b035-9f0e-4384-b00a-ad2ff61199fc,Enter Question,Home,301.47
265589fd-4c96-4e50-830f-3fd0a2de7867,Court Industry,Clothing,18.3
32f2cd82-43e3-432f-9651-b772abeeff98,Development Poor,Electronics,268.97
d6aff172-1f6c-40d0-ae20-d791c39650fd,Pick Church,Clothing,783.82
793847b7-e99e-49f0-a2ad-d8e71212bef1,War West,Clothing,225.78
a863936b-d764-4167-afdb-0519c8930c88,Miss Future,Clothing,486.96
df44db2f-fb09-40ea-8d41-f30bb0de1ff6,Very Want,Books,303.56
68b0c68a-0a1e-4ee1-a5b8-b9e8c4434d68,Improve Son,Sports,952.42
7017e59a-48ec-4afb-8118-5566ea703ae6,Two Call,Sports,567.77
a5fd197d-8f20-4147-95e4-a57cc81b3076,North Crime,Home,112.01
fbbfd133-c6f3-476c-9fb0-58b39e4ef803,Security No,Clothing,192.95
2a8824c3-710c-4a76-8bbd-a9e0d10e3ae1,Significant Camera,Home,307.54
a407e692-e55d-4288-ae51-2a3acbf3d3e1,Cover Question,Clothing,814.16
edc9ebed-cf6b-46bc-a0f4-6a9cfa8cd4b6,High Exactly,Clothing,815.43
df19236a-6800-4a3c-8c43-5b60e259e639,Its Rich,Sports,874.12
de239ca0-708c-4575-abbc-2a741e0f56a9,Case Who,Clothing,432.73
1c3f1a43-20e2-4d16-87e5-58e01fbcdb18,Theory Board,Clothing,210.66
c1f2376d-b9f5-4604-be22-71a847fd3477,Nearly Into,Clothing,804.24
3f04d15c-e6ea-48c5-960d-3bffa1643c2e,Control Reality,Sports,795.15
b871e2ce-db4e-49dd-9a6b-653999b7df7b,Once Rock,Electronics,130.41
cda4b954-6417-472f-93f1-c515660a33ca,Miss Threat,Home,410.43
07baddbb-2797-42ee-b6e2-890d625eb381,If Successful,Clothing,45.25
16f33f4c-5837-4b5d-903b-84c7c42d145d,Because Car,Home,26.03
993d7ae0-39fe-4a98-8ee6-9aeee245b943,Fire Window,Clothing,142.29
e9a8ed10-f357-4292-97df-0720a4461f85,Position Behavior,Sports,222.97
11101320-a6a4-45da-b23c-2370df33785a,No Truth,Sports,966.55
a85b8af9-3131-4733-8f35-37cda5230699,International Town,Home,491.04
ceaa7a10-4c9f-4cf0-a6a8-03c41b9ab213,Director Stage,Books,198.3
a23b26c0-5975-4d27-960c-a708917856da,Into Activity,Sports,74.45
632f3326-493e-4426-97f8-8d88fd2b1b1f,Probably Dream,Home,30.88
d171cce0-50ee-4865-9d2b-d3f470ff65ca,Wind Note,Electronics,730.59
796bbc70-da21-455d-b6a2-f233691cd6e3,Live Structure,Electronics,752.53
28c404cd-029d-4fd2-bbb1-6c79c066624f,Past Throw,Electronics,460.41
847219f9-ff03-4b6e-af67-2531fd7e58e9,Somebody Tax,Home,133.78
c483dc4f-3599-4630-b9ec-ecd168c9590c,Plant Vote,Sports,557.19
3eed1293-7c20-4786-9210-c7a982e1c40b,Instead Skill,Sports,728.78
8da5ece0-cde5-4f90-9782-04e53b77e2e7,Short Leg,Clothing,316.08
e698acb0-9387-40a6-8bd2-c1eadf52cf57,Center Represent,Books,838.01
f1022426-ef92-48db-95a3-33bc1eea1546,Rock Idea,Books,398.51
4e14c08e-c9a0-4324-9067-9f38c89152dc,Yes Wait,Electronics,622.92
c17d0f51-2337-45ec-821e-a6739cb9c1ff,Low Trial,Sports,143.42
f0908b38-ca2a-405a-a555-348b213abf69,Information Sort,Sports,976.88
6d896ee6-ce2e-4059-ad35-fc98cf4f1ae7,Require Action,Home,402.3
540aeb18-a232-443c-8d4f-e868880d3ad4,City Free,Sports,65.6
e1a6c228-6fc9-49f4-b0b3-684e5462e05e,Bank Hundred,Books,170.93
2f486a66-e432-43c4-ae15-e74494825d82,Effort Today,Electronics,180.71
40881b1a-cbeb-4843-a35e-8fb7bd70b9c2,Owner Author,Books,387.9
d9e8d956-8b2c-4f32-92a7-78a55453a173,Responsibility Tend,Electronics,336.34
ab51a8ec-ec42-4f94-98af-6f8ea4652058,Worry Player,Clothing,365.0
17e4cc40-551c-431e-a327-0f78d4bffc39,Cut Source,Electronics,804.86
8a8dc2f8-2e86-4b47-802e-8041a8dd8195,Both Thing,Sports,658.65
7fa3da43-9ee2-4c34-b0a6-1931abf0c6e4,Laugh Must,Clothing,750.48
87e6e7ea-be35-4d1b-abaa-ff4fc6e739dc,Occur None,Clothing,472.67
1bfc89fc-0e37-4dd4-83f1-f0fd603ef5ee,Suggest Operation,Electronics,926.53
56349528-e0e3-49f8-b3e6-af566596cf95,The Charge,Home,351.87
cea34e5b-0c64-45e5-90f3-c503445cff29,Alone Put,Sports,263.81
bb0ba4d2-9229-4ae3-ada8-aa3554bf0d16,Month Significant,Electronics,805.23
1cbf6aa0-b0d7-4d0e-ba65-82c231c1638b,Level Great,Clothing,887.42
31819ebd-80c6-4199-bf24-705314152e8c,Fast Crime,Electronics,227.69
c1fd3864-a62b-4f91-9aa2-546af454b6e6,Firm Serious,Books,639.38
de3b54ca-c43f-41d2-94da-612900f75857,Perform American,Clothing,809.72
542bcc9d-31b9-42b8-95bd-a88911899554,However Individual,Home,740.03
f8fa23bb-22d0-4ec0-9cf0-a0fb6e8acf7f,Check Be,Books,292.88
c31f843c-a118-42c8-bc93-5fcd340bca95,Hair Significant,Home,162.05
e300256a-4e04-48b2-9b04-1588a005df1d,Talk Relationship,Sports,919.42
8149915b-698a-430d-bafe-695fe94e1d34,Certainly Another,Electronics,629.44
b630dc4d-d8e3-4e77-b2dc-96e32a1e7e51,Forward Part,Home,200.05
d290b3b2-b8bf-4f7a-967d-2cc78066cc44,Peace Authority,Books,623.02
0382248d-b888-46dd-b909-e683ecccee2e,Total For,Clothing,136.63
