payid,oid,amount,method_payment,provider,payment_status,order_status
99054e5a-8883-4471-830d-1e135516165e,57e22d4d-47fa-44ea-9bda-d908bb301519,112.46,PayPal,Bank,Paid,Shipped
7b4f6416-bfd4-470d-9f91-ff5f5ead0b2b,ec6a5a39-f4e1-405e-8c06-a54b9a32fdf8,1010.21,Credit Card,Square,Failed,Placed
d47a91a6-eb21-4fea-82cc-63257717121b,6acd928a-d57c-4ed4-91f8-a3fb7ee644a5,492.57,Credit Card,PayPal,Paid,Placed
5f79901f-d9b0-400b-a7b1-cfdda83245bc,48b829d2-e423-4316-b0c2-5a12999db2b7,2928.94,Cash on Delivery,Stripe,Failed,Shipped
99069594-adda-4c78-82ca-527896b360d5,73f811e6-3a93-41ed-a5ff-806a908618f2,647.39,PayPal,Square,Failed,Cancelled
381d69b9-bc90-4155-8c47-c9f6139f1da7,4b4a5eca-41c2-4f1d-8a03-56490697529d,1030.24,PayPal,Stripe,Failed,Shipped
72a810cd-0f25-45a0-bcb0-f7b57fecbd13,3ee77d6b-4c62-4280-8710-297e899a197b,1465.81,Debit Card,Stripe,Paid,Cancelled
ae1ceb46-4a8a-4874-98ab-6f7888625d42,7fe10248-c912-4aa4-80f7-33f4a8b51d1b,3257.46,Credit Card,Bank,Pending,Shipped
40e1ece7-f22c-4ae8-9978-37f981efe89e,73163a5e-9137-410e-be2f-5f206df1b074,1975.85,UPI,Square,Paid,Shipped
d7841a5c-8b5a-4588-a373-1cf741a04221,f0b49755-faa1-43bd-944f-83ba4aa0a12b,883.46,Cash on Delivery,Stripe,Paid,Shipped
248aa1b1-a920-446e-a132-b6e2d61440f5,a154d8c3-1212-4b3c-b98d-8f7640f8fa25,683.63,Debit Card,Square,Paid,Placed
6e475953-0d7f-4a74-8864-8073f5eae28a,fee64887-ea79-409f-82ff-9e2085af2533,1136.23,Credit Card,Square,Pending,Placed
8c8c4b73-13b2-4896-8bb2-419066d7793b,c713a1a7-ce78-4ab7-9677-cf8a3932d1c4,467.35,Debit Card,Bank,Failed,Cancelled
0b76a269-b4c7-4906-b0d3-b30603a3d8bc,5b348fc0-716a-4635-a838-0519e6c33111,672.84,PayPal,Bank,Paid,Shipped
70cd0fb7-8eb3-4d9f-8975-fe7f83ef9402,646060b6-bceb-424c-a6d2-920f188030b9,1930.29,PayPal,Bank,Failed,Shipped
3271d4c4-2a2a-46f2-9566-e6211bbd3f86,a99b4b4e-b4ca-4a4c-bc90-af6d6262f2e1,1973.77,Credit Card,Bank,Failed,Shipped
c9a9f5ff-7243-4e21-a88c-cbfd7178cc97,8f89456f-59bc-4f28-8ecc-502c7ec94fc8,546.37,Cash on Delivery,Bank,Failed,Cancelled
09a71e38-13be-4078-8f8f-7d8d5aab5f80,aafbd7b5-bdf1-41a4-8c2e-17e63c3c84fb,893.8,Cash on Delivery,Square,Pending,Cancelled
2cdca98b-0f87-41b5-b361-69123fd68f8c,6c920ab1-1e89-4326-93d2-d3908b5770cd,2400.05,Credit Card,Square,Pending,Cancelled
