pid,pname,category,price,brand,supplier
00953233-0da4-4b52-a7d1-eef52e82dca0,Nothing Physical,Clothing,490.15,Caldwell Inc,Booth Inc
08466599-51ff-41ed-9718-6c17f8703290,Number Hope,Home,862.41,Grant Group,Lang Group
0d5166fe-a85f-4148-a46b-61ae1a673d60,Quickly Security,Clothing,14.5,Taylor-Maldonado,Morales-Andrews
7be5e8b8-a0fd-47e2-853f-9165c84f7ea5,Brother Much,Clothing,581.72,White-Silva,"Lopez, Moore and Potter"
a5202a92-214b-487e-aee2-5d5b64169c36,Party Particular,Clothing,578.64,Sanders PLC,"Tucker, Barnett and Dean"
f43c6ba3-f152-43d3-bd4f-f458ece9dae0,Rate Election,Electronics,559.36,Jackson-Baker,Benson-Reese
e1ef699c-65a4-44d9-804a-975aeb590826,Order Threat,Sports,825.44,Williams PLC,Mckenzie-Valentine
e82cd184-d41b-4ca4-b74d-28800af25156,And Four,Home,231.33,Davis and Sons,"Long, Lamb and Hampton"
ddfa2a47-d3e0-450e-9610-8e19759f1dc7,Organization Easy,Books,761.75,"Estes, Avila and Scott",Anderson-Thompson
38aafe71-06d3-4ad5-b3a1-34af5a0a119f,Resource Ground,Clothing,251.66,"Peterson, Mitchell and Gardner","Brown, Christensen and Mcfarland"
744ce2c2-1fd3-4f4a-a4b3-a19820cc75f4,Follow Likely,Electronics,405.89,"Sanders, Miller and Carson",Harris LLC
74f54908-c501-43ab-ae07-f7300bc06a28,Three Daughter,Electronics,862.4,Hill-White,"Wilson, Cabrera and Swanson"
2441e2a5-a88d-469e-8d6b-6c64d9450809,Include Book,Electronics,184.51,Price-Johnson,Gilbert-Howard
37afc444-bda2-4eab-a153-46a3d2fd4f21,Threat Own,Home,79.81,Blackwell Ltd,Harris-Morrow
dda36ba2-b53a-426b-8751-b9c9a10c9112,Fight Discuss,Clothing,598.51,Simmons-Dawson,"Fitzgerald, Brown and Thompson"
51d32a40-7e88-4fab-8dc1-0eb8ff439720,At Group,Home,105.72,Copeland-Fitzpatrick,"Mitchell, Silva and Rogers"
25e0c2a3-583b-4206-8d32-7adc9e1bc9cc,Administration Best,Books,367.03,"Berry, Holt and Williams",Walker-Nichols
24d9957e-34eb-474e-a9ca-bfeaca8d0d54,Big Imagine,Books,910.53,Jordan-Fisher,Whitney-Collins
d490f03d-2631-4c66-b4ce-2019f446e0fe,Step Choose,Sports,78.48,Brown Ltd,Little and Sons
2f957430-37cf-40e4-90b5-1fe9dfe22e3c,Once Nature,Sports,357.7,"Cohen, Weaver and Kelly","Young, Fleming and Armstrong"
fade05cd-31db-492c-9ac9-490a262a09b7,Today First,Home,59.47,"Mclaughlin, Walker and Reynolds",Green-Thomas
892d37eb-b4aa-4d16-8c99-7db9844a32dd,Nothing Try,Electronics,793.94,Miller Inc,"Meyer, Steele and Henderson"
802f5e8c-daff-49a7-98d6-dd7e35c4d801,Make Agreement,Books,890.54,Galloway Group,Thomas-Brown
566f0c87-2923-484b-98d6-797e77097a60,Name Stand,Home,71.4,Alvarez-Clark,Serrano PLC
e6fdbd1d-5390-4db9-992b-c6ad94182db1,Sometimes Section,Sports,214.93,"Gentry, Wright and Turner",Bruce PLC
5eb31fa8-d182-4a1f-9927-5d2f4e1ffd81,Past Owner,Clothing,213.23,"Carter, Beltran and Ruiz","Gutierrez, Alexander and Lynch"
4a611434-e0c5-4f48-8260-dcbe36f5ae80,Turn News,Electronics,626.45,Snyder Group,"Shannon, Monroe and Kramer"
c83124b4-9ad4-4635-8f01-2e2696215b9e,Rather Majority,Home,168.07,Rodriguez-Oconnor,"Middleton, Gray and Valenzuela"
4f2d9a65-fa64-4880-b3db-dfdd42af3768,Least Oil,Clothing,352.1,David and Sons,Brown Group
fc65cf35-c4ac-434e-9c82-4ba1f9db061d,Charge Probably,Books,45.33,"Hughes, Lam and Smith","Garcia, Weaver and Hunt"
0b79e4e9-6dfa-4071-a0fa-9414efb657d2,Always Account,Sports,638.67,Carr-Parker,Logan-Jones
ef463cd5-4249-4ad5-a2be-f223aa562fec,Area Hospital,Sports,838.15,Shaw Group,Ramsey Group
5678501a-c56d-4e07-b1b1-24543ddc4f88,Mr Capital,Clothing,900.49,Johnson LLC,Wheeler-Webster
88ea6b94-a19b-4ad2-b10c-53cc46e524eb,Each Quickly,Sports,723.67,"Scott, Crawford and Henry",Larsen-Schmidt
56ec1c72-8132-4902-83ca-d42868707084,Significant Nature,Sports,295.08,Lawrence PLC,"Brown, Bauer and Wagner"
49c16a76-e826-4139-96f1-56e8f8513845,Operation Decision,Clothing,39.54,"Peterson, Glass and Vaughan",Hernandez-Cross
2786a735-fd0f-451e-8266-6dbc8577b32f,Quite Several,Sports,741.52,"Watkins, Copeland and Hamilton",Skinner LLC
f9371c1e-c755-4ecd-96e4-86e2618a29ff,Accept Glass,Books,326.54,"Patel, Washington and Orr",Johnson-Nguyen
0f26171e-f2e7-4ef4-a70d-84dfe79cfeb6,Public Young,Electronics,694.51,"Drake, Burke and Bell",Roberts-Hart
8aa08660-5e5a-45f3-bc4f-b84667564a99,Factor Discuss,Clothing,905.71,"Rodriguez, Glenn and Rodriguez",Riggs-Morris
