OrderID,Amount
0,732.69
1,882.43
2,313.58
3,736.22
4,831.15
5,97.5
6,332.74
7,555.49
8,361.7
9,771.07
10,785.97
11,368.4
12,448.28
13,351.94
14,283.9
15,880.38
16,960.93
17,460.36
18,25.82
19,420.0
20,738.94
21,760.45
22,803.39
23,37.3
24,922.95
25,207.93
26,946.43
27,212.54
28,594.16
29,500.99
30,51.37
31,907.7
32,280.72
33,300.82
34,375.52
35,78.63
36,475.61
37,933.19
38,936.08
39,657.81
40,500.0
41,447.33
42,727.6
43,856.16
44,423.66
45,182.42
46,183.05
47,203.52
48,77.47
49,825.7
50,824.58
51,400.03
52,219.52
53,124.39
54,247.97
55,825.41
56,206.44
57,997.45
58,397.68
59,23.55
60,664.35
61,609.57
62,114.86
63,727.28
64,913.74
65,76.13
66,462.01
67,691.75
68,950.6
69,189.5
70,897.56
71,922.36
72,53.5
73,855.51
74,230.15
75,128.01
76,158.21
77,211.46
78,592.67
79,682.76
80,351.35
81,211.82
82,315.98
83,96.32
84,998.46
85,689.18
86,535.59
87,747.45
88,574.38
89,184.96
90,221.94
91,705.52
92,437.09
93,794.51
94,285.46
95,537.38
96,121.06
97,86.04
98,973.49
99,476.25
100,916.85
101,180.8
102,595.13
103,220.23
104,459.17
105,452.65
106,780.6
107,313.5
108,827.32
109,775.43
110,11.12
111,939.06
112,888.85
113,641.28
114,991.71
115,209.55
116,663.07
117,420.5
118,563.23
119,16.5
120,813.55
121,766.9
122,69.77
123,183.92
124,66.15
125,989.49
126,259.11
127,311.96
128,805.34
129,263.36
130,829.43
131,278.8
132,217.69
133,950.54
134,196.37
135,902.54
136,902.08
137,298.22
138,410.17
139,703.17
140,685.87
141,16.81
142,16.99
143,129.12
144,417.94
145,417.28
146,462.63
147,377.39
148,10.81
149,609.72
150,436.44
151,783.16
152,448.11
153,170.71
154,736.25
155,580.1
156,374.64
157,599.18
158,409.73
159,870.36
160,957.14
161,138.91
162,281.19
163,296.21
164,756.79
165,694.51
166,856.89
167,20.63
168,251.87
169,23.2
170,908.46
171,738.98
172,976.72
173,802.15
174,800.69
175,125.84
176,539.49
177,837.18
178,142.18
179,662.45
180,16.58
181,727.5
182,629.12
183,408.08
184,278.91
185,816.68
186,818.54
187,150.88
188,26.79
189,837.91
190,625.0
191,188.97
192,599.15
193,462.55
194,988.71
195,978.28
196,643.64
197,882.72
198,539.01
199,56.75
200,410.93
201,971.44
202,907.57
203,721.85
204,45.97
205,324.9
206,494.47
207,617.47
208,184.49
209,35.69
210,904.41
211,142.22
212,954.37
213,813.02
214,667.73
215,506.88
216,813.28
217,612.96
218,252.76
219,711.78
220,618.21
221,824.61
222,99.19
223,830.99
224,495.36
225,266.0
226,37.51
227,721.87
228,320.67
229,625.05
230,951.66
231,131.44
232,683.76
233,61.88
234,966.22
235,420.6
236,438.37
237,970.25
238,256.78
239,830.99
240,858.94
241,886.26
242,870.19
243,723.77
244,589.41
245,688.97
246,739.14
247,170.01
248,461.61
249,827.86
250,107.27
251,698.43
252,667.57
253,541.9
254,273.7
255,990.83
256,945.58
257,848.48
258,485.4
259,172.61
260,852.14
261,989.9
262,101.06
263,932.0
264,949.32
265,758.95
266,514.97
267,720.23
268,383.05
269,960.92
270,568.55
271,720.44
272,500.32
273,269.32
274,167.68
275,571.77
276,865.82
277,296.68
278,408.24
279,322.86
280,859.33
281,40.26
282,551.66
283,654.78
284,384.32
285,131.44
286,986.15
287,65.19
288,713.98
289,954.07
290,554.63
291,236.01
292,689.76
293,636.22
294,319.29
295,636.79
296,186.75
297,234.66
298,721.09
299,558.77
300,26.36
301,63.18
302,939.53
303,635.56
304,561.82
305,411.47
306,421.88
307,739.99
308,943.85
309,560.01
310,17.66
311,614.14
312,708.85
313,939.41
314,319.34
315,770.67
316,913.62
317,785.14
318,278.13
319,452.6
320,595.87
321,627.48
322,921.89
323,413.49
324,479.17
325,315.72
326,109.11
327,909.1
328,567.56
329,15.64
330,172.33
331,874.8
332,507.57
333,633.79
334,733.41
335,726.35
336,111.89
337,397.11
338,623.07
339,71.41
340,300.8
341,737.75
342,520.18
343,66.37
344,506.29
345,766.87
346,635.37
347,941.58
348,318.07
349,411.34
350,668.19
351,570.72
352,539.63
353,909.31
354,412.43
355,142.46
356,997.31
357,967.96
358,182.94
359,864.87
360,849.0
361,340.01
362,523.37
363,401.57
364,466.8
365,403.84
366,26.13
367,748.68
368,377.48
369,963.16
370,292.4
371,521.79
372,18.48
373,237.08
374,750.98
375,52.98
376,276.81
377,359.64
378,702.13
379,314.36
380,380.54
381,312.13
382,720.94
383,333.94
384,459.29
385,454.24
386,601.07
387,333.66
388,336.35
389,106.94
390,841.2
391,349.6
392,209.61
393,276.25
394,551.17
395,870.66
396,447.15
397,119.74
398,415.92
399,669.26
400,433.98
401,411.01
402,972.4
403,738.84
404,930.75
405,47.28
406,397.18
407,590.94
408,887.5
409,558.83
410,817.68
411,876.95
412,168.08
413,854.5
414,288.25
415,423.71
416,101.18
417,830.41
418,80.28
419,972.11
420,521.65
421,289.43
422,923.11
423,782.71
424,469.77
425,57.23
426,657.04
427,837.03
428,220.83
429,466.18
430,390.64
431,666.57
432,56.79
433,225.58
434,924.7
435,792.37
436,880.19
437,133.78
438,110.64
439,834.03
440,425.19
441,349.65
442,980.99
443,521.78
444,244.8
445,911.2
446,453.52
447,87.18
448,72.43
449,30.36
450,229.12
451,527.82
452,597.96
453,574.69
454,203.27
455,976.17
456,43.33
457,428.92
458,343.32
459,608.13
460,125.6
461,983.73
462,726.72
463,458.54
464,555.13
465,888.84
466,548.86
467,925.7
468,647.48
469,734.23
470,228.64
471,827.64
472,647.4
473,927.99
474,266.14
475,948.37
476,69.06
477,420.81
478,982.18
479,461.72
480,693.72
481,517.25
482,803.3
483,226.1
484,98.79
485,210.42
486,630.12
487,975.82
488,720.4
489,505.77
490,957.05
491,708.87
492,212.09
493,504.96
494,319.61
495,884.52
496,489.13
497,23.1
498,77.92
499,623.56
500,211.61
501,950.25
502,509.54
503,225.04
504,870.34
505,807.28
506,935.48
507,641.86
508,536.63
509,352.35
510,359.73
511,652.08
512,635.98
513,247.69
514,46.66
515,794.67
516,501.42
517,849.1
518,602.78
519,45.22
520,691.2
521,325.03
522,70.16
523,719.3
524,395.04
525,149.55
526,884.62
527,463.28
528,211.29
529,992.0
530,256.69
531,721.18
532,69.88
533,975.54
534,215.04
535,385.9
536,780.11
537,511.03
538,664.44
539,570.33
540,590.51
541,112.02
542,73.72
543,315.35
544,931.34
545,146.55
546,907.18
547,889.84
548,388.35
549,249.75
550,67.71
551,292.46
552,85.76
553,63.78
554,746.95
555,383.14
556,504.56
557,66.81
558,85.34
559,388.12
560,830.33
561,453.79
562,881.89
563,212.26
564,30.24
565,764.23
566,745.48
567,81.42
568,775.36
569,299.52
570,607.41
571,254.34
572,552.45
573,518.05
574,37.88
575,604.2
576,668.13
577,358.6
578,443.61
579,325.83
580,816.72
581,634.9
582,600.0
583,394.64
584,254.5
585,832.39
586,214.72
587,100.82
588,615.6
589,40.86
590,521.13
591,638.23
592,966.93
593,655.64
594,603.82
595,200.05
596,832.49
597,575.65
598,650.32
599,551.26
600,937.52
601,612.68
602,466.51
603,234.22
604,226.94
605,399.01
606,228.31
607,659.13
608,148.2
609,121.12
610,236.56
611,242.62
612,171.19
613,351.94
614,596.55
615,763.88
616,185.56
617,966.23
618,478.48
619,232.02
620,249.04
621,223.6
622,760.54
623,697.79
624,626.28
625,88.01
626,650.91
627,787.47
628,724.1
629,374.92
630,899.56
631,202.02
632,336.07
633,442.3
634,765.53
635,702.67
636,228.98
637,985.57
638,923.71
639,163.94
640,473.62
641,536.45
642,974.96
643,307.16
644,161.35
645,980.52
646,923.71
647,233.45
648,329.12
649,669.11
650,388.56
651,849.65
652,690.3
653,750.24
654,328.57
655,276.91
656,455.0
657,600.67
658,797.47
659,27.16
660,621.78
661,702.32
662,290.67
663,872.49
664,738.21
665,53.29
666,437.91
667,205.56
668,125.01
669,620.59
670,14.91
671,393.09
672,312.28
673,601.59
674,202.48
675,707.35
676,311.9
677,430.96
678,586.3
679,191.19
680,668.4
681,442.58
682,654.45
683,473.89
684,531.1
685,804.46
686,993.6
687,775.4
688,893.46
689,878.61
690,504.97
691,27.33
692,845.81
693,77.54
694,14.37
695,862.35
696,800.47
697,660.61
698,106.44
699,197.64
700,494.14
701,972.02
702,714.77
703,461.37
704,890.07
705,869.71
706,676.6
707,317.57
708,441.43
709,149.59
710,180.29
711,82.93
712,441.45
713,390.99
714,943.28
715,188.85
716,279.62
717,306.66
718,427.35
719,781.53
720,245.83
721,204.17
722,688.29
723,235.57
724,167.82
725,449.67
726,270.14
727,442.71
728,742.1
729,932.3
730,306.94
731,247.82
732,201.22
733,858.18
734,291.46
735,108.61
736,631.21
737,832.26
738,282.96
739,490.42
740,117.46
741,304.87
742,743.52
743,932.31
744,41.21
745,148.59
746,365.04
747,889.39
748,745.71
749,933.4
750,952.35
751,875.77
752,816.67
753,572.8
754,806.19
755,80.91
756,992.05
757,918.56
758,135.66
759,592.91
760,482.44
761,398.92
762,806.52
763,985.09
764,666.93
765,71.26
766,419.73
767,964.37
768,564.89
