TransactionID,Date,CustomerID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,25-11-2023,CUST4455,Female,49,Books,20,201,4020
2,25-11-2023,CUST7255,Male,27,Beauty,5,352,1760
3,25-11-2023,CUST8994,Male,51,Beauty,2,236,472
4,25-11-2023,CUST4581,Male,41,Books,17,398,6766
5,25-11-2023,CUST7039,Male,20,Clothing,10,210,2100
6,25-11-2023,CUST7991,Female,20,Groceries,18,109,1962
7,25-11-2023,CUST0396,Female,22,Books,9,387,3483
8,25-11-2023,CUST3723,Female,30,Beauty,14,198,2772
9,25-11-2023,CUST5454,Female,32,Electronics,16,337,5392
10,25-11-2023,CUST2130,Female,29,Sports,5,409,2045
11,25-11-2023,CUST0844,Male,23,Groceries,2,366,732
12,25-11-2023,CUST7555,Male,69,Beauty,20,413,8260
13,25-11-2023,CUST3239,Male,69,Electronics,5,380,1900
14,25-11-2023,CUST6532,Female,47,Books,19,458,8702
15,25-11-2023,CUST6235,Male,33,Electronics,18,19,342
16,25-11-2023,CUST5934,Male,28,Groceries,9,53,477
17,25-11-2023,CUST3825,Male,38,Beauty,19,235,4465
18,25-11-2023,CUST7171,Male,51,Groceries,4,60,240
19,25-11-2023,CUST7320,Male,51,Groceries,11,499,5489
20,25-11-2023,CUST5693,Male,21,Sports,15,319,4785
21,25-11-2023,CUST2564,Male,18,Clothing,4,17,68
22,25-11-2023,CUST6214,Female,66,Clothing,15,304,4560
23,25-11-2023,CUST1193,Male,64,Electronics,6,388,2328
24,25-11-2023,CUST0886,Male,36,Clothing,5,417,2085
25,25-11-2023,CUST2036,Male,25,Sports,9,461,4149
26,25-11-2023,CUST9891,Male,24,Beauty,20,53,1060
27,25-11-2023,CUST9850,Female,25,Clothing,14,57,798
28,25-11-2023,CUST3012,Female,65,Electronics,2,121,242
29,25-11-2023,CUST9286,Female,56,Beauty,19,38,722
30,25-11-2023,CUST6798,Female,41,Beauty,13,136,1768
31,25-11-2023,CUST7812,Female,30,Sports,5,224,1120
32,25-11-2023,CUST2042,Male,65,Books,11,213,2343
33,25-11-2023,CUST8622,Male,34,Books,18,167,3006
34,25-11-2023,CUST6406,Female,64,Clothing,17,328,5576
35,25-11-2023,CUST2702,Male,49,Books,17,211,3587
36,25-11-2023,CUST3469,Female,66,Sports,8,24,192
37,25-11-2023,CUST4489,Male,61,Clothing,9,452,4068
38,25-11-2023,CUST0134,Female,26,Electronics,6,354,2124
39,25-11-2023,CUST6086,Female,47,Sports,20,205,4100
40,25-11-2023,CUST9690,Female,58,Beauty,18,440,7920
41,25-11-2023,CUST5145,Male,30,Groceries,14,231,3234
42,25-11-2023,CUST0222,Female,48,Sports,1,418,418
43,25-11-2023,CUST6714,Female,68,Electronics,4,25,100
44,25-11-2023,CUST4860,Male,44,Books,16,374,5984
45,25-11-2023,CUST0009,Female,46,Electronics,17,12,204
46,25-11-2023,CUST3923,Female,25,Books,11,192,2112
47,25-11-2023,CUST2030,Male,41,Sports,8,477,3816
48,25-11-2023,CUST7038,Female,43,Beauty,6,92,552
49,25-11-2023,CUST9542,Male,59,Beauty,20,25,500
50,25-11-2023,CUST9058,Female,42,Sports,13,67,871
51,25-11-2023,CUST7507,Male,44,Beauty,12,494,5928
52,25-11-2023,CUST8897,Female,54,Clothing,2,201,402
53,25-11-2023,CUST3008,Male,48,Books,10,283,2830
54,25-11-2023,CUST4312,Male,61,Sports,1,425,425
55,25-11-2023,CUST9087,Female,30,Electronics,15,325,4875
56,25-11-2023,CUST7784,Male,69,Groceries,17,318,5406
57,25-11-2023,CUST9126,Male,25,Sports,8,336,2688
58,25-11-2023,CUST8181,Male,48,Books,15,132,1980
59,25-11-2023,CUST4568,Male,49,Clothing,14,253,3542
60,25-11-2023,CUST3280,Female,30,Electronics,5,129,645
61,25-11-2023,CUST1693,Female,49,Electronics,16,138,2208
62,25-11-2023,CUST0264,Male,40,Sports,5,144,720
63,25-11-2023,CUST1203,Male,56,Groceries,9,63,567
64,25-11-2023,CUST2539,Female,56,Beauty,10,131,1310
65,25-11-2023,CUST8757,Male,66,Clothing,20,261,5220
66,25-11-2023,CUST3718,Male,45,Clothing,5,417,2085
67,25-11-2023,CUST6534,Male,44,Beauty,14,66,924
68,25-11-2023,CUST5325,Female,44,Electronics,9,96,864
69,25-11-2023,CUST9598,Female,66,Groceries,13,180,2340
70,25-11-2023,CUST0632,Female,42,Books,18,290,5220
71,25-11-2023,CUST3700,Female,66,Books,19,69,1311
72,25-11-2023,CUST4545,Male,49,Electronics,17,500,8500
73,25-11-2023,CUST7973,Female,40,Sports,11,217,2387
74,25-11-2023,CUST6924,Female,47,Beauty,7,211,1477
75,25-11-2023,CUST4604,Male,29,Clothing,12,413,4956
76,25-11-2023,CUST6738,Female,44,Clothing,8,336,2688
77,25-11-2023,CUST3158,Male,29,Groceries,13,48,624
78,25-11-2023,CUST6680,Male,42,Electronics,20,117,2340
79,25-11-2023,CUST2126,Male,23,Electronics,1,436,436
80,25-11-2023,CUST5712,Male,63,Clothing,13,56,728
81,25-11-2023,CUST3676,Male,45,Groceries,1,281,281
82,25-11-2023,CUST4861,Male,28,Groceries,9,207,1863
83,25-11-2023,CUST1749,Male,51,Groceries,6,164,984
84,25-11-2023,CUST1318,Male,18,Books,15,36,540
85,25-11-2023,CUST3056,Male,52,Books,20,373,7460
86,25-11-2023,CUST5747,Female,26,Electronics,17,178,3026
87,25-11-2023,CUST5500,Male,56,Books,16,462,7392
88,25-11-2023,CUST6641,Female,25,Sports,2,138,276
89,25-11-2023,CUST2035,Male,20,Clothing,5,357,1785
90,25-11-2023,CUST6272,Male,28,Sports,9,46,414
91,25-11-2023,CUST5769,Male,18,Groceries,3,373,1119
92,25-11-2023,CUST7911,Female,32,Sports,7,291,2037
93,25-11-2023,CUST1246,Male,64,Groceries,17,103,1751
94,25-11-2023,CUST0971,Male,48,Books,7,97,679
95,25-11-2023,CUST9334,Male,68,Clothing,9,479,4311
96,25-11-2023,CUST7773,Female,29,Books,5,76,380
97,25-11-2023,CUST1996,Female,38,Sports,10,61,610
98,25-11-2023,CUST4679,Male,56,Electronics,11,446,4906
99,25-11-2023,CUST2061,Male,50,Sports,1,279,279
100,25-11-2023,CUST6020,Male,50,Groceries,18,398,7164
101,25-11-2023,CUST3811,Male,56,Groceries,17,80,1360
102,25-11-2023,CUST6962,Female,48,Beauty,3,321,963
103,25-11-2023,CUST5138,Female,69,Books,4,73,292
104,25-11-2023,CUST8522,Male,38,Beauty,18,462,8316
105,25-11-2023,CUST8265,Female,68,Electronics,5,67,335
106,25-11-2023,CUST0551,Female,55,Clothing,6,453,2718
107,25-11-2023,CUST0578,Female,67,Sports,14,186,2604
108,25-11-2023,CUST9321,Male,65,Groceries,18,37,666
109,25-11-2023,CUST7373,Male,19,Sports,18,65,1170
110,25-11-2023,CUST1455,Male,70,Groceries,2,423,846
111,25-11-2023,CUST0593,Male,48,Clothing,11,270,2970
112,25-11-2023,CUST0568,Male,25,Groceries,5,86,430
113,25-11-2023,CUST3563,Female,56,Beauty,9,411,3699
114,25-11-2023,CUST5407,Male,41,Beauty,15,403,6045
115,25-11-2023,CUST4413,Female,32,Books,14,23,322
116,25-11-2023,CUST5850,Female,65,Beauty,2,446,892
117,25-11-2023,CUST0955,Female,35,Beauty,12,220,2640
118,25-11-2023,CUST1479,Male,32,Beauty,6,265,1590
119,25-11-2023,CUST9265,Female,26,Groceries,13,463,6019
120,25-11-2023,CUST7513,Female,20,Groceries,5,435,2175
121,25-11-2023,CUST3533,Male,62,Sports,17,266,4522
122,25-11-2023,CUST7829,Female,39,Beauty,8,72,576
123,25-11-2023,CUST2080,Male,33,Beauty,16,291,4656
124,25-11-2023,CUST5418,Female,68,Electronics,16,50,800
125,25-11-2023,CUST1000,Female,51,Clothing,6,319,1914
126,25-11-2023,CUST2158,Female,43,Electronics,8,159,1272
127,25-11-2023,CUST3764,Male,66,Beauty,2,294,588
128,25-11-2023,CUST3794,Male,31,Groceries,3,176,528
129,25-11-2023,CUST8400,Male,23,Electronics,17,50,850
130,25-11-2023,CUST7581,Male,35,Groceries,18,105,1890
131,25-11-2023,CUST3406,Male,49,Beauty,15,478,7170
132,25-11-2023,CUST2797,Male,60,Sports,3,369,1107
133,25-11-2023,CUST3508,Female,56,Groceries,7,73,511
134,25-11-2023,CUST9651,Male,41,Sports,4,128,512
135,25-11-2023,CUST7096,Male,63,Sports,14,385,5390
136,25-11-2023,CUST2377,Female,50,Beauty,8,213,1704
137,25-11-2023,CUST8158,Male,24,Groceries,14,185,2590
138,25-11-2023,CUST5941,Male,32,Groceries,13,436,5668
139,25-11-2023,CUST7987,Male,42,Beauty,17,242,4114
140,25-11-2023,CUST6456,Female,58,Beauty,13,288,3744
141,25-11-2023,CUST9834,Female,62,Electronics,1,59,59
142,25-11-2023,CUST0465,Male,47,Clothing,17,108,1836
143,25-11-2023,CUST2104,Female,45,Books,11,188,2068
144,25-11-2023,CUST8947,Male,35,Clothing,11,253,2783
145,25-11-2023,CUST3322,Male,24,Clothing,14,209,2926
146,25-11-2023,CUST7036,Male,68,Clothing,4,336,1344
147,25-11-2023,CUST9392,Female,52,Clothing,13,23,299
148,25-11-2023,CUST0451,Female,24,Beauty,12,411,4932
149,25-11-2023,CUST0583,Male,55,Books,18,343,6174
150,25-11-2023,CUST4949,Female,27,Sports,11,16,176
151,25-11-2023,CUST7378,Male,49,Beauty,10,287,2870
152,25-11-2023,CUST2296,Female,42,Groceries,10,114,1140
